Lambda11(-),Lambda22(-),Sigma11(MPa),Sigma22(MPa)
1.000000,1.000000,0.000000,0.000000
1.219953,1.143011,0.004376,0.004742
1.220917,1.143567,0.004531,0.004768
1.222347,1.144081,0.004488,0.004790
1.224374,1.144185,0.004608,0.004808
1.229717,1.144531,0.004663,0.004825
1.232200,1.146507,0.004623,0.004839
1.234024,1.148879,0.004766,0.004852
1.237163,1.149143,0.004802,0.004911
1.237755,1.148982,0.004854,0.004955
1.242701,1.151059,0.005034,0.004963
1.245557,1.153451,0.005088,0.005007
1.250385,1.156755,0.005231,0.005015
1.253487,1.158001,0.005451,0.005023
1.255774,1.159166,0.005559,0.005032
1.258981,1.163076,0.005743,0.005209
1.262670,1.166654,0.005965,0.005266
1.266391,1.169271,0.006115,0.005323
1.271466,1.171996,0.006378,0.005465
1.272763,1.173502,0.006529,0.005522
1.279660,1.178801,0.006797,0.005579
1.283597,1.182142,0.007062,0.005722
1.288532,1.185919,0.007244,0.005731
1.294007,1.188444,0.007515,0.005827
1.296243,1.190084,0.007865,0.005921
1.304755,1.196071,0.008048,0.006102
1.310097,1.197229,0.008402,0.006246
1.313840,1.202540,0.008588,0.006391
1.319150,1.205213,0.008816,0.006535
1.322815,1.206481,0.009083,0.006680
1.332351,1.212251,0.009272,0.006692
1.336868,1.215481,0.009584,0.006826
1.340610,1.217532,0.009858,0.006961
1.347056,1.220973,0.010271,0.007010
1.349079,1.221545,0.010602,0.007195
1.360349,1.228979,0.010939,0.007418
1.365453,1.231731,0.011313,0.007555
1.366520,1.232026,0.011652,0.007828
1.380013,1.235221,0.011991,0.008016
1.382730,1.238172,0.012335,0.008292
1.392678,1.244843,0.012719,0.008444
1.400118,1.246856,0.013024,0.008633
1.403703,1.249012,0.013453,0.008861
1.409862,1.251001,0.013973,0.009088
1.412022,1.251963,0.014495,0.009317
1.417593,1.257745,0.015103,0.009635
1.425365,1.260671,0.015734,0.009967
1.431334,1.262806,0.016410,0.010300
1.438082,1.264133,0.017036,0.010671
1.443030,1.266297,0.017980,0.011045
1.450381,1.269696,0.019018,0.011471
1.455712,1.274146,0.020234,0.011937
1.465200,1.275496,0.021911,0.012635
1.472494,1.278709,0.024004,0.013285
1.477882,1.281267,0.024636,0.013477
1.487533,1.284225,0.025361,0.013742
1.494223,1.286122,0.026203,0.014049
1.501979,1.288887,0.027136,0.014359
1.507583,1.291200,0.027994,0.014729
1.513054,1.293079,0.029036,0.015179
1.526921,1.296441,0.030250,0.015572
