Lambda11(-),Lambda22(-),Sigma11(MPa),Sigma22(MPa)
1.080615,1.221880,0.021432,0.019557
1.080615,1.221880,0.022163,0.019985
1.083442,1.226185,0.022787,0.020357
1.083447,1.228510,0.023365,0.020729
1.083447,1.228510,0.023945,0.021270
1.086258,1.232407,0.024402,0.021757
1.087129,1.234884,0.024874,0.022300
1.087129,1.234884,0.025566,0.022770
1.088339,1.239791,0.026367,0.023428
1.089857,1.242086,0.026997,0.024259
1.090694,1.244015,0.027582,0.025146
1.091466,1.245462,0.028231,0.026034
1.092444,1.248952,0.029164,0.026980
1.093392,1.250619,0.030097,0.027645
1.093485,1.252970,0.030907,0.028615
1.095124,1.254902,0.031941,0.029360
1.095635,1.257994,0.033103,0.030161
1.097243,1.260099,0.034423,0.031133
1.098612,1.262536,0.034956,0.031723
1.099272,1.264210,0.035443,0.032272
1.100961,1.266916,0.035951,0.032840
1.102141,1.269080,0.036612,0.033432
1.102873,1.272085,0.037145,0.034140
1.103793,1.273618,0.037793,0.034688
1.105453,1.276453,0.038717,0.034944
