Lambda11(-),Lambda22(-),Sigma11(MPa),Sigma22(MPa)
1.499582,1.511334,0.052917,0.075659
1.500571,1.515463,0.055172,0.079451
1.501546,1.517025,0.057465,0.083632
1.501891,1.519230,0.059846,0.088189
1.503595,1.520708,0.062409,0.092843
1.504235,1.523911,0.065094,0.097875
1.505454,1.525043,0.068036,0.103273
1.505810,1.527787,0.071112,0.108858
1.506973,1.530867,0.074359,0.114707
1.506971,1.531876,0.077659,0.121055
1.508260,1.534785,0.081095,0.127802
1.509205,1.535953,0.084788,0.134919
1.510067,1.537598,0.088534,0.142422
1.511738,1.540060,0.092415,0.150356
1.512585,1.542598,0.096423,0.158944
1.513128,1.545817,0.100869,0.168150
1.513417,1.548982,0.105441,0.177761
1.514788,1.551430,0.110235,0.187752
1.515089,1.553068,0.114915,0.197379
1.515589,1.555394,0.117220,0.202216
1.516485,1.557854,0.119585,0.207153
1.517107,1.559551,0.121918,0.212159
1.519171,1.562040,0.124309,0.217436
1.518888,1.564130,0.126920,0.222904
1.520115,1.565330,0.129521,0.228429
1.520812,1.568633,0.132131,0.234086
