Lambda11(-),Lambda22(-),Sigma11(MPa),Sigma22(MPa)
1.657771,1.389001,0.046656,0.028781
1.661615,1.389818,0.049226,0.030215
1.662363,1.390726,0.051890,0.031732
1.664450,1.392391,0.054692,0.033330
1.666990,1.393283,0.057552,0.034930
1.670789,1.393639,0.060641,0.036693
1.671511,1.395397,0.063987,0.038712
1.673974,1.396935,0.067576,0.040814
1.676334,1.397892,0.071451,0.043054
1.676573,1.397908,0.075334,0.045592
1.678573,1.399068,0.079452,0.048038
1.681593,1.400047,0.084053,0.050568
1.682885,1.400449,0.088994,0.053356
1.685626,1.401704,0.094133,0.056229
1.688793,1.403056,0.099721,0.059281
1.691730,1.404136,0.105653,0.062417
1.694292,1.405791,0.112103,0.065881
1.695972,1.405927,0.119047,0.069564
1.698042,1.407104,0.126257,0.073387
1.699254,1.407567,0.133411,0.077117
1.701992,1.408777,0.136934,0.078978
1.703538,1.409008,0.140490,0.080874
1.706843,1.410197,0.144216,0.082882
1.710411,1.410907,0.147978,0.084847
1.713117,1.411911,0.152044,0.086757
1.714467,1.413370,0.156226,0.088818
1.716889,1.414782,0.160464,0.091159
