Lambda11(-),Lambda22(-),Sigma11(MPa),Sigma22(MPa)
1.000000,1.000000,0.000000,0.000000
1.187975,1.395339,0.004077,0.004949
1.188750,1.396631,0.004074,0.004955
1.188906,1.397503,0.004129,0.004961
1.190904,1.399693,0.004225,0.005033
1.193981,1.405152,0.004213,0.005034
1.195063,1.408469,0.004390,0.005091
1.196883,1.412499,0.004410,0.005089
1.196618,1.413298,0.004465,0.005088
1.199786,1.419097,0.004638,0.005186
1.203295,1.422015,0.004685,0.005198
1.206171,1.424178,0.004809,0.005260
1.207946,1.430081,0.004932,0.005321
1.209435,1.433297,0.004942,0.005334
1.214353,1.437417,0.005117,0.005432
1.217988,1.442761,0.005167,0.005531
1.220477,1.445156,0.005215,0.005544
1.224274,1.448819,0.005430,0.005693
1.226220,1.453477,0.005608,0.005755
1.226190,1.453483,0.005749,0.005769
1.232407,1.458770,0.006003,0.005869
1.236817,1.463558,0.006174,0.005834
1.240782,1.469047,0.006470,0.006022
1.246025,1.473102,0.006691,0.006174
1.248467,1.479324,0.006824,0.006278
1.251346,1.482896,0.007122,0.006518
1.255360,1.485073,0.007346,0.006709
1.261634,1.491156,0.007570,0.006902
1.264855,1.496388,0.007869,0.007182
1.268706,1.499926,0.008044,0.007428
1.274201,1.506396,0.008347,0.007674
1.279393,1.510924,0.008649,0.008008
1.282555,1.515210,0.008787,0.008206
1.283229,1.516316,0.009004,0.008440
1.283325,1.516206,0.009183,0.008765
1.295595,1.531435,0.009363,0.009015
1.298519,1.536350,0.009467,0.009482
1.301857,1.540698,0.009489,0.009684
1.302174,1.543332,0.009672,0.009924
1.308972,1.550517,0.009775,0.010127
1.311770,1.556513,0.009839,0.010281
1.317418,1.563189,0.010025,0.010526
1.320601,1.567483,0.010265,0.010680
1.324278,1.570696,0.010546,0.010796
1.329497,1.576807,0.010828,0.010861
1.334587,1.584994,0.011113,0.010980
1.337891,1.589025,0.011438,0.011232
1.341406,1.593244,0.011723,0.011578
1.341335,1.593930,0.011971,0.012030
1.352667,1.605899,0.012300,0.012244
1.356546,1.610982,0.012589,0.012646
1.360907,1.614862,0.012963,0.012960
1.364924,1.618936,0.013544,0.013515
1.368685,1.621199,0.014145,0.014260
1.369277,1.621443,0.014913,0.015006
1.381883,1.635328,0.015254,0.015292
1.384090,1.640007,0.015506,0.015514
1.390848,1.642870,0.015729,0.015885
1.396172,1.647546,0.015990,0.016321
1.396389,1.647659,0.016239,0.016842
1.405686,1.659958,0.016471,0.017387
1.411645,1.664792,0.016756,0.017815
