Lambda11(-),Lambda22(-),Sigma11(MPa),Sigma22(MPa)
1.132385,1.091654,0.028301,0.018605
1.133178,1.093967,0.029218,0.019326
1.134103,1.094538,0.030483,0.020049
1.136269,1.095366,0.031750,0.020807
1.137200,1.096385,0.032904,0.021670
1.139372,1.096780,0.034294,0.022535
1.140078,1.098176,0.035803,0.023627
1.140745,1.098578,0.037313,0.024615
1.142194,1.099353,0.039011,0.025867
1.143644,1.100650,0.040963,0.027067
1.144799,1.101121,0.042968,0.028164
1.146250,1.102478,0.045211,0.029593
1.147257,1.102879,0.047524,0.031130
1.149079,1.103754,0.049890,0.032790
1.150635,1.104950,0.052679,0.034662
1.151786,1.106098,0.055826,0.036746
1.153179,1.107259,0.059096,0.038885
1.154266,1.107688,0.062256,0.041078
1.156153,1.108242,0.063756,0.042088
1.157578,1.109436,0.065485,0.043133
1.158784,1.110771,0.067040,0.044219
1.161231,1.112376,0.068715,0.045191
1.162343,1.112995,0.070645,0.046357
1.164139,1.113546,0.072496,0.047429
1.165708,1.114256,0.074115,0.048668
