Lambda11(-),Lambda22(-),Sigma11(MPa),Sigma22(MPa)
1.033299,1.181980,0.031650,0.033334
1.033488,1.184013,0.032967,0.035042
1.034408,1.187035,0.034361,0.036667
1.034681,1.188704,0.035798,0.038420
1.035583,1.190019,0.037269,0.040274
1.035747,1.191524,0.038893,0.042300
1.036498,1.193543,0.040572,0.044412
1.037745,1.197037,0.042285,0.046571
1.038213,1.199746,0.044119,0.048958
1.038433,1.200949,0.046063,0.051350
1.038552,1.201819,0.048009,0.053733
1.039429,1.202666,0.050152,0.056430
1.039819,1.204299,0.052265,0.059314
1.040223,1.206976,0.054445,0.062289
1.040353,1.209918,0.056909,0.065372
1.040584,1.211516,0.059485,0.068628
1.041319,1.212864,0.062225,0.072186
1.041666,1.215663,0.065164,0.076232
1.042189,1.217915,0.068410,0.080596
1.042918,1.218789,0.071811,0.085055
1.043203,1.220600,0.075141,0.089405
1.043570,1.223004,0.076712,0.091511
1.045189,1.224805,0.078348,0.093727
1.045433,1.225675,0.080011,0.095869
1.045685,1.227820,0.081766,0.098220
1.046428,1.229077,0.083642,0.100844
1.046911,1.231517,0.085479,0.103387
1.047398,1.234344,0.087547,0.105973
