Lambda11(-),Lambda22(-),Sigma11(MPa),Sigma22(MPa)
1.000000,1.000000,0.000000,0.000000
1.000000,1.000000,0.000981,0.000949
1.002986,1.000694,0.001033,0.001028
1.004391,1.001790,0.001194,0.000972
1.004480,1.001800,0.001217,0.001035
1.008555,1.005789,0.001267,0.001088
1.010624,1.007597,0.001338,0.001234
1.011058,1.010523,0.001347,0.001359
1.010748,1.012703,0.001403,0.001413
1.010735,1.012432,0.001526,0.001416
1.013538,1.016001,0.001554,0.001586
1.014322,1.017970,0.001663,0.001726
1.015123,1.019702,0.001738,0.001810
1.018092,1.020582,0.001767,0.001980
1.018523,1.020228,0.001924,0.002074
1.019923,1.021252,0.001977,0.002247
1.021601,1.022322,0.002040,0.002396
1.023515,1.024329,0.002126,0.002515
1.024636,1.026447,0.002100,0.002713
1.024671,1.026422,0.002212,0.002832
1.026519,1.028851,0.002242,0.002952
1.029228,1.031486,0.002222,0.002984
1.030117,1.032967,0.002335,0.003017
1.030997,1.035815,0.002375,0.003105
1.030983,1.035800,0.002414,0.003250
1.034803,1.039800,0.002503,0.003283
1.036036,1.042397,0.002509,0.003291
1.037915,1.044641,0.002676,0.003357
1.041045,1.046954,0.002766,0.003422
1.041056,1.046957,0.002825,0.003514
1.044811,1.052758,0.002993,0.003523
1.047352,1.056197,0.003051,0.003615
1.049079,1.058087,0.003110,0.003683
1.050913,1.060585,0.003228,0.003726
1.054502,1.064279,0.003340,0.003889
1.056410,1.067416,0.003590,0.004017
1.059117,1.071213,0.003900,0.004241
1.063733,1.074381,0.004205,0.004430
1.064887,1.077346,0.004483,0.004654
1.067029,1.079536,0.004947,0.004845
1.071694,1.083856,0.005412,0.005096
1.075437,1.088132,0.005967,0.005410
1.078252,1.090783,0.006500,0.005793
1.080424,1.093356,0.007165,0.006264
1.080467,1.093999,0.007921,0.006652
1.088726,1.101088,0.008877,0.007222
1.092562,1.103970,0.009887,0.007885
1.096196,1.106973,0.011089,0.008646
1.098746,1.110321,0.012411,0.009434
1.098703,1.110470,0.013882,0.010264
1.106153,1.117707,0.015504,0.011405
1.110116,1.121941,0.017484,0.012705
1.114474,1.125401,0.019927,0.014426
1.118128,1.129560,0.022938,0.016530
1.122196,1.133383,0.026338,0.019049
1.125513,1.137141,0.027521,0.019890
1.129262,1.139810,0.028782,0.020788
1.133677,1.142939,0.030152,0.021748
1.137044,1.148271,0.031696,0.022761
1.141909,1.150380,0.033371,0.024013
1.146293,1.156441,0.034999,0.025336
1.149604,1.158405,0.037027,0.026705
