Lambda11(-),Lambda22(-),Sigma11(MPa),Sigma22(MPa)
1.000000,1.000000,0.000000,0.000000
1.245468,1.384085,0.003362,0.004451
1.245874,1.383659,0.003366,0.004528
1.247759,1.384046,0.003370,0.004591
1.249267,1.388813,0.003503,0.004643
1.252326,1.390170,0.003563,0.004688
1.253668,1.393664,0.003662,0.004773
1.255020,1.395564,0.003748,0.004804
1.255502,1.396417,0.003728,0.004831
1.258640,1.400546,0.003831,0.004935
1.260122,1.401586,0.003935,0.005038
1.262488,1.406833,0.003944,0.005103
1.264229,1.409800,0.004089,0.005303
1.266436,1.413256,0.004152,0.005368
1.268941,1.417331,0.004257,0.005422
1.271515,1.421137,0.004403,0.005571
1.273689,1.425230,0.004412,0.005584
1.276761,1.429192,0.004559,0.005734
1.280528,1.433276,0.004707,0.005843
1.282886,1.438250,0.004719,0.005856
1.285054,1.440327,0.004897,0.006007
1.288751,1.443978,0.004909,0.006022
1.291443,1.449566,0.005006,0.006132
1.292429,1.450790,0.005281,0.006285
1.298201,1.457549,0.005547,0.006493
1.302714,1.461199,0.005771,0.006799
1.305230,1.464007,0.006134,0.007162
1.307279,1.466393,0.006319,0.007335
1.312868,1.471648,0.006628,0.007701
1.316795,1.477137,0.006898,0.008026
1.321951,1.480533,0.007127,0.008200
1.325172,1.485394,0.007494,0.008568
1.329766,1.487859,0.007723,0.008842
1.334051,1.492148,0.007997,0.009116
1.337458,1.495754,0.008313,0.009487
1.343272,1.500275,0.008461,0.009721
1.347587,1.505617,0.008822,0.010152
1.352240,1.509797,0.009056,0.010471
1.355395,1.512921,0.009207,0.010750
1.357142,1.514131,0.009375,0.010974
1.363407,1.521210,0.009587,0.011100
1.366943,1.526527,0.009801,0.011230
1.371923,1.532195,0.010146,0.011415
1.373160,1.533441,0.010494,0.011748
1.378141,1.539604,0.010753,0.012083
1.383083,1.543921,0.011103,0.012578
1.387729,1.550161,0.011498,0.013062
1.391493,1.554545,0.011984,0.013504
1.393399,1.556407,0.012622,0.014153
1.393102,1.556435,0.013216,0.014803
1.403734,1.569034,0.013990,0.015662
1.408281,1.575315,0.015011,0.016573
1.412366,1.578688,0.016124,0.017648
1.416905,1.584003,0.017557,0.019041
1.421414,1.589938,0.019378,0.020871
1.423662,1.590752,0.019945,0.021524
1.431222,1.597639,0.020547,0.022207
1.436417,1.603316,0.021135,0.023001
1.439982,1.606767,0.021768,0.023659
1.440313,1.606643,0.022657,0.024444
1.452114,1.619133,0.023591,0.025228
1.457036,1.623502,0.024671,0.026119
