Lambda11(-),Lambda22(-),Sigma11(MPa),Sigma22(MPa)
1.074462,1.185926,0.019700,0.017697
1.075416,1.186778,0.020261,0.018359
1.076905,1.188921,0.020739,0.019022
1.077685,1.190192,0.021433,0.019727
1.078380,1.192211,0.022115,0.020296
1.079519,1.195317,0.022847,0.020963
1.080073,1.196751,0.023614,0.021632
1.080982,1.197480,0.024395,0.022206
1.081583,1.198329,0.025297,0.022960
1.082974,1.200879,0.026248,0.023797
1.083988,1.203177,0.027200,0.024555
1.084785,1.204011,0.028369,0.025314
1.086504,1.205647,0.029540,0.026241
1.086967,1.207236,0.030749,0.027212
1.088155,1.209706,0.032043,0.028367
1.089283,1.211643,0.033424,0.029567
1.090059,1.214580,0.034987,0.030757
1.090621,1.215372,0.036624,0.032003
1.092005,1.216060,0.037297,0.032502
1.093775,1.218336,0.038031,0.033187
1.094264,1.220291,0.038780,0.033811
1.095397,1.224011,0.039665,0.034432
1.096395,1.226136,0.040580,0.035175
1.097110,1.226270,0.041496,0.035941
1.098123,1.228775,0.042481,0.036738
