Lambda11(-),Lambda22(-),Sigma11(MPa),Sigma22(MPa)
1.175592,1.176017,0.034371,0.021113
1.177869,1.177347,0.036171,0.021982
1.180015,1.179026,0.038157,0.022910
1.182357,1.181398,0.040331,0.023921
1.184602,1.182567,0.042745,0.025004
1.186942,1.185135,0.045427,0.026089
1.188224,1.185804,0.048260,0.027396
1.191416,1.187658,0.051204,0.028747
1.191774,1.188403,0.054340,0.030282
1.194485,1.189779,0.057668,0.031862
1.196204,1.191336,0.061371,0.033432
1.199640,1.192475,0.065321,0.035238
1.201812,1.195271,0.069505,0.037216
1.203601,1.196405,0.073802,0.039446
1.205898,1.198398,0.078535,0.041905
1.208592,1.200106,0.083746,0.044577
1.210367,1.200978,0.089432,0.047395
1.212324,1.203117,0.095261,0.050118
1.216175,1.205844,0.097891,0.051408
1.219351,1.207257,0.100646,0.052703
1.220885,1.208888,0.103458,0.054159
1.223417,1.210645,0.106323,0.055574
1.225395,1.211320,0.109397,0.057143
1.228168,1.213715,0.112593,0.058616
1.230515,1.216150,0.115878,0.060061
