Lambda11(-),Lambda22(-),Sigma11(MPa),Sigma22(MPa)
1.000000,1.000000,0.000000,0.000000
1.000000,1.000000,0.002770,0.003006
1.001926,1.000193,0.002814,0.003033
1.002240,1.000208,0.002885,0.003055
1.007227,0.999986,0.002913,0.003073
1.010090,0.999947,0.002995,0.003089
1.012070,0.999241,0.003039,0.003103
1.015794,0.999399,0.003103,0.003115
1.016046,1.000021,0.003135,0.003126
1.017509,1.000472,0.003239,0.003185
1.019081,1.000873,0.003322,0.003244
1.019746,1.001064,0.003404,0.003249
1.022897,1.002238,0.003565,0.003285
1.025638,1.001673,0.003625,0.003314
1.027389,1.001401,0.003708,0.003320
1.030494,1.001734,0.003815,0.003325
1.032966,1.001747,0.003955,0.003355
1.035657,1.002246,0.004073,0.003384
1.038757,1.002972,0.004060,0.003389
1.041099,1.003192,0.004145,0.003419
1.043057,1.003774,0.004242,0.003480
1.046391,1.005019,0.004362,0.003485
1.049441,1.006387,0.004509,0.003515
1.051698,1.007328,0.004706,0.003520
1.055587,1.009139,0.004904,0.003559
1.059149,1.010901,0.005079,0.003644
1.060505,1.012309,0.005254,0.003706
1.063870,1.013621,0.005474,0.003825
1.067442,1.016081,0.005752,0.003976
1.070535,1.017650,0.006066,0.004119
1.074981,1.020492,0.006432,0.004262
1.078092,1.022463,0.006766,0.004415
1.080241,1.024237,0.007180,0.004591
1.084962,1.026929,0.007790,0.004792
1.088089,1.029424,0.008457,0.005002
1.092383,1.032085,0.009121,0.005205
1.096627,1.034217,0.009900,0.005465
1.101141,1.036833,0.010684,0.005790
1.104881,1.038909,0.011666,0.006140
1.108508,1.040495,0.012786,0.006493
1.113819,1.042897,0.014132,0.006822
1.118671,1.045012,0.015703,0.007291
1.123649,1.047225,0.017479,0.007737
1.128409,1.050362,0.019485,0.008210
1.132472,1.052251,0.021664,0.008775
1.138390,1.053500,0.024104,0.009432
1.144503,1.056900,0.026671,0.010082
1.148862,1.058440,0.029361,0.010801
1.155467,1.059530,0.032480,0.011612
1.161038,1.061931,0.036082,0.012593
1.167297,1.064373,0.040470,0.013794
1.173241,1.066083,0.045699,0.015257
1.179302,1.068180,0.052075,0.016902
1.184977,1.070426,0.059316,0.018902
1.192879,1.072888,0.061859,0.019574
1.198126,1.075398,0.064529,0.020348
1.202870,1.075893,0.067393,0.021106
1.209829,1.078533,0.070356,0.021954
1.216369,1.080514,0.073564,0.022847
1.224490,1.082382,0.077096,0.023838
1.229153,1.084863,0.080968,0.024903
