Lambda11(-),Lambda22(-),Sigma11(MPa),Sigma22(MPa)
1.000000,1.000000,0.000000,0.000000
1.221904,1.340541,0.002959,0.002779
1.220557,1.340012,0.002949,0.002801
1.223763,1.340192,0.003050,0.002855
1.226326,1.339324,0.003068,0.002824
1.231622,1.339465,0.003084,0.002838
1.231563,1.339151,0.003154,0.002915
1.236314,1.339712,0.003137,0.002947
1.244273,1.340963,0.003196,0.002975
1.267909,1.356849,0.003255,0.003037
1.270304,1.359865,0.003266,0.003098
1.273415,1.364817,0.003398,0.003160
1.276177,1.366508,0.003482,0.003220
1.281121,1.371657,0.003591,0.003281
1.284411,1.376038,0.003725,0.003342
1.287365,1.379158,0.003869,0.003371
1.291821,1.384775,0.004039,0.003433
1.295555,1.388672,0.004233,0.003463
1.297536,1.391854,0.004381,0.003468
1.302742,1.395304,0.004527,0.003563
1.306610,1.400812,0.004673,0.003592
1.312428,1.406595,0.004798,0.003599
1.316869,1.410543,0.004995,0.003662
1.321698,1.414463,0.005146,0.003668
1.326116,1.417880,0.005295,0.003699
1.331338,1.422371,0.005522,0.003705
1.335921,1.426801,0.005624,0.003712
1.343533,1.431819,0.005829,0.003809
1.347208,1.435964,0.005983,0.003872
1.351948,1.438515,0.006113,0.003936
1.355249,1.441701,0.006236,0.004059
1.359181,1.447075,0.006282,0.004090
1.364515,1.449472,0.006381,0.004188
1.369857,1.455391,0.006509,0.004286
1.375001,1.458272,0.006687,0.004376
1.379346,1.461666,0.006839,0.004499
1.384649,1.464720,0.007082,0.004590
1.390080,1.468916,0.007290,0.004656
1.394969,1.472284,0.007509,0.004814
1.401429,1.477027,0.007782,0.004940
1.408129,1.481077,0.008004,0.005124
1.414549,1.484171,0.008307,0.005309
1.419057,1.487246,0.008668,0.005461
1.425397,1.490660,0.009029,0.005647
1.432461,1.493575,0.009474,0.005834
1.439985,1.499267,0.010014,0.006022
1.447149,1.503192,0.022720,0.010789
1.453640,1.505647,0.023695,0.011102
1.459060,1.508076,0.024762,0.011465
1.465859,1.512256,0.025871,0.011859
1.474530,1.516244,0.027239,0.012330
1.481935,1.520346,0.028768,0.012905
1.488137,1.524382,0.030450,0.013510
