,S111S1,S111S4,S112S2,S112S3,S112S4,S113S3,S113S4,S143S1,S143S2,S144S3,S144S4
0,0.009022291749715805,0.02600044570863247,0.007697157561779022,0.06662178039550781,0.010852772742509842,0.008727359585464,0.011848071590065956,0.001014716923236847,0.0022407700307667255,0.01950959488749504,0.013014617376029491
5,0.008226427249610424,0.025116149336099625,0.008455632254481316,0.008496498689055443,0.004630355164408684,0.01783018745481968,0.07256346195936203,0.0008336072787642479,0.0021961175370961428,0.01794004999101162,0.012676292099058628
10,0.008614540100097656,0.00914585031569004,0.008619071915745735,0.010409561917185783,0.003930166829377413,0.0042031509801745415,0.07704970240592957,0.0010934231104329228,0.002322634682059288,0.028355827555060387,0.011977916583418846
15,0.008932601660490036,0.025454601272940636,0.006964916829019785,0.11014483124017715,0.007922730408608913,0.0076748463325202465,0.0719354897737503,0.0009982918854802847,0.0020009251311421394,0.0056012473069131374,0.013528321869671345
20,0.008613928221166134,0.01722577214241028,0.007123185321688652,0.01219342090189457,0.017233483493328094,0.01358928345143795,0.012636404484510422,0.0011411109007894993,0.0023564507719129324,0.005918898619711399,0.013128785416483879
25,0.009511590003967285,0.02865184284746647,0.008529086597263813,0.008988556452095509,0.017807185649871826,0.05799010396003723,0.014583105221390724,0.0008097910322248936,0.0023087060544639826,0.009378606453537941,0.013361876830458641
30,0.008021598681807518,0.02606257051229477,0.016447028145194054,0.10304001718759537,0.015888605266809464,0.06766196340322495,0.06071672961115837,0.0012310352176427841,0.0024579858873039484,0.01780790649354458,0.01341197919100523
35,0.009671076200902462,0.026490844786167145,0.023168733343482018,0.09362514317035675,0.19476808607578278,0.06849275529384613,0.07360910624265671,0.0009754327475093305,0.003773898584768176,0.017537206411361694,0.01476357877254486
40,0.009979750961065292,0.030252454802393913,0.08551371097564697,0.11712714284658432,0.2259170413017273,0.07264675199985504,0.08435242623090744,0.0016311253421008587,0.0037647346034646034,0.02791941538453102,0.009095225483179092
