Lambda11(-),Lambda22(-),Sigma11(MPa),Sigma22(MPa)
1.000000,1.000000,0.000000,0.000000
1.000000,1.000000,0.003568,0.001979
1.001681,1.001161,0.003604,0.002174
1.003637,1.003416,0.003588,0.002332
1.004580,1.007194,0.003658,0.002461
1.006285,1.010521,0.003718,0.002570
1.008298,1.013068,0.003699,0.002697
1.010792,1.018108,0.003824,0.002775
1.011761,1.019932,0.003832,0.002873
1.013348,1.026077,0.003871,0.003050
1.015182,1.030740,0.003982,0.003295
1.017568,1.034824,0.003961,0.003443
1.019320,1.040651,0.004072,0.003591
1.021959,1.045870,0.004213,0.003700
1.023073,1.050048,0.004284,0.003849
1.025687,1.054807,0.004427,0.003999
1.027421,1.059765,0.004510,0.004109
1.030325,1.065625,0.004623,0.004149
1.031801,1.069407,0.004798,0.004190
1.035359,1.076118,0.004850,0.004231
1.036423,1.078174,0.004934,0.004313
1.039305,1.082733,0.005173,0.004366
1.042333,1.087711,0.005282,0.004407
1.044462,1.093039,0.005460,0.004491
1.047986,1.095707,0.005702,0.004544
1.051768,1.102690,0.005841,0.004597
1.053692,1.105120,0.006114,0.004724
1.056623,1.108531,0.006287,0.004735
1.059295,1.112588,0.006397,0.004863
1.062703,1.118757,0.006611,0.004949
1.067543,1.123082,0.006722,0.004960
1.070043,1.126808,0.006896,0.005045
1.072578,1.129586,0.007039,0.005132
1.076525,1.135063,0.007151,0.005218
1.079137,1.139102,0.007424,0.005380
1.081859,1.143334,0.007568,0.005577
1.084646,1.146793,0.007651,0.005774
1.086779,1.153127,0.007767,0.006057
1.089243,1.155584,0.007882,0.006300
1.091781,1.158822,0.007999,0.006499
1.094768,1.164572,0.008226,0.006742
1.097395,1.169548,0.008388,0.006911
1.100565,1.173053,0.008617,0.007154
1.105614,1.178549,0.008911,0.007324
1.107098,1.182670,0.009107,0.007537
1.109573,1.186639,0.009371,0.007826
1.112837,1.191517,0.009636,0.008041
1.116463,1.195933,0.009934,0.008289
1.120096,1.203639,0.010234,0.008538
1.123779,1.206778,0.010503,0.008712
1.127215,1.209168,0.010939,0.008811
1.131156,1.215389,0.011455,0.009113
1.134815,1.220888,0.011975,0.009327
1.139127,1.225496,0.012698,0.009554
1.143474,1.230600,0.013358,0.009937
1.147594,1.233874,0.013560,0.010025
1.149523,1.239343,0.013830,0.010124
1.153396,1.244927,0.014060,0.010293
1.158333,1.248020,0.014284,0.010432
1.162393,1.250737,0.014650,0.010595
1.166661,1.257449,0.014983,0.010792
1.170920,1.260226,0.015395,0.011036
