x prx pry gtx gty
1.0 0.2688001113739124 -0.33486237635524624 0.0 0.0
1.28995 2.197288110481945 1.6065228987473974 2.2009999752044678 1.5049999952316284
1.28955 2.1913558109940663 1.6038414313738738 2.1730000972747803 1.4639999866485596
1.289328 2.1877077297746697 1.6016505809931887 2.1500000953674316 1.475000023841858
1.290003 2.23628703317342 1.6765931682005033 2.131999969482422 1.5219999551773071
1.290066 2.242930722437569 1.687278283528507 2.117000102996826 1.5260000228881836
1.290066 2.2432601358204765 1.6878664946814095 2.1440000534057617 1.5299999713897705
1.290725 2.2654731485600808 1.7149152617069299 2.129999876022339 1.5640000104904175
1.290753 2.2726401324280996 1.7271131133181195 2.11899995803833 1.565000057220459
1.290729 2.2725653872234792 1.7274327240565603 2.1540000438690186 1.624000072479248
1.291174 2.3029419435474923 1.772606172345908 2.18999981880188 1.6540000438690186
1.291463 2.336643691957527 1.8258039965044208 2.2260000705718994 1.656000018119812
1.291463 2.33764901643752 1.8275291438905623 2.2279999256134033 1.5999999046325684
1.291781 2.3613785061251087 1.8625692248251793 2.2290000915527344 1.6589999198913574
1.291808 2.3806725235116697 1.8947228939655802 2.2909998893737793 1.6610000133514404
1.29183 2.381195150369533 1.8952393373103489 2.257999897003174 1.691999912261963
1.292043 2.431478174784231 1.9753158698632085 2.2239999771118164 1.694000005722046
1.293068 2.453584857389452 1.9957650882853417 2.259999990463257 1.7239999771118164
1.29305 2.4548049037134665 1.9980618340156808 2.322000026702881 1.7839999198913574
1.293722 2.5066006970992962 2.0723950934964916 2.384999990463257 1.7860000133514404
1.293656 2.5210188607290034 2.096706811755624 2.4210000038146973 1.8459999561309814
1.293691 2.5221440493566707 2.098004581044986 2.38700008392334 1.906000018119812
1.294472 2.5547111827931945 2.1388806325266843 2.4230000972747803 1.878999948501587
1.295244 2.594264738408736 2.190885537424416 2.5210001468658447 1.9390000104904175
1.295268 2.595475551828398 2.192467810148349 2.6100001335144043 1.940999984741211
1.296453 2.667385182867194 2.2895144016150684 2.6110000610351562 1.9720001220703125
1.296668 2.678700654222577 2.304293481535494 2.6130001544952393 2.0330002307891846
1.296638 2.6800627279695592 2.3068765565405656 2.640000104904175 2.1510000228881836
1.29684 2.712594498429379 2.3551317460234453 2.703000068664551 2.182000160217285
1.297034 2.7527377202175995 2.4149380664267723 2.7660000324249268 2.2139999866485596
1.297075 2.7699443117238163 2.4409520819502486 2.802999973297119 2.2160000801086426
1.297328 2.8111990670598392 2.50094459062893 2.803999900817871 2.2770001888275146
1.297287 2.8243993563207273 2.5215334858450564 2.804999828338623 2.3380000591278076
1.297369 2.824848171011952 2.5212174865861363 2.868000030517578 2.369999885559082
1.297628 2.8709148098367647 2.587796539838542 2.9049999713897705 2.430999994277954
1.297618 2.912558255935167 2.650249685041548 2.871000051498413 2.492999792098999
1.297688 2.9158776630195935 2.6544282475185836 2.9079999923706055 2.5249998569488525
1.298039 2.9770220664250804 2.7412761001372004 2.936000108718872 2.5859999656677246
1.298081 2.993519922285713 2.7651227337335107 2.937999963760376 2.61899995803833
1.298074 2.993242664285251 2.7647858546399924 2.878000020980835 2.679999828338623
1.298486 3.025506396464105 2.807997530355921 2.8440001010894775 2.7129998207092285
1.298853 3.0503208108495805 2.8406837523383417 2.871999979019165 2.7749998569488525
1.298872 3.0500390694015955 2.840082519446148 2.934999942779541 2.8369998931884766
1.299277 3.1341392464909332 2.9585659622316305 2.999000072479248 2.8999998569488525
1.299916 3.167562297760688 3.0010394985392526 2.9750001430511475 2.9619998931884766
1.299917 3.16757020678774 3.0010416895302763 2.940999984741211 3.053999900817871
1.300066 3.2612963539416597 3.1343695450945948 3.0400002002716064 3.1570000648498535
1.300095 3.3213263715252004 3.219423866369666 3.1030001640319824 3.258999824523926
1.300192 3.32277562935502 3.2207506482729777 3.1410000324249268 3.2929999828338623
