x prx pry gtx gty
1.0 0.15082044988580495 -0.25963767118576025 0.0 0.0
1.28995 2.1993977496561095 1.1677570336823633 2.2009999752044678 1.5049999952316284
1.28955 2.1897679482544765 1.1669587554401915 2.1730000972747803 1.4639999866485596
1.289328 2.184158971866422 1.1653374262441334 2.1500000953674316 1.475000023841858
1.290003 2.2293379758993273 1.2822310380275541 2.131999969482422 1.5219999551773071
1.290066 2.235198890461735 1.2991071062800528 2.117000102996826 1.5260000228881836
1.290066 2.2354478103658733 1.300062640071878 2.1440000534057617 1.5299999713897705
1.290725 2.2612221896864284 1.3388894666169628 2.129999876022339 1.5640000104904175
1.290753 2.267096671569888 1.3584794078687836 2.11899995803833 1.565000057220459
1.290729 2.2667144575264553 1.3591780854647155 2.1540000438690186 1.624000072479248
1.291174 2.296207018469811 1.428967034159248 2.18999981880188 1.6540000438690186
1.291463 2.3264135610514662 1.5123933235119495 2.2260000705718994 1.656000018119812
1.291463 2.3271964455107326 1.5151466132997131 2.2279999256134033 1.5999999046325684
1.291781 2.350243350763584 1.569040309568719 2.2290000915527344 1.6589999198913574
1.291808 2.3657203431786162 1.61976041588357 2.2909998893737793 1.6610000133514404
1.29183 2.366450493893757 1.6204617715288139 2.257999897003174 1.691999912261963
1.292043 2.408891700837776 1.7446537186833333 2.2239999771118164 1.694000005722046
1.293068 2.441930106926034 1.772481030255341 2.259999990463257 1.7239999771118164
1.29305 2.442624295871666 1.7761355434719912 2.322000026702881 1.7839999198913574
1.293722 2.494203923795865 1.8891641673306412 2.384999990463257 1.7860000133514404
1.293656 2.504607434760816 1.9267529053136563 2.4210000038146973 1.8459999561309814
1.293691 2.5060617138089216 1.9286578056956383 2.38700008392334 1.906000018119812
1.294472 2.544623371999415 1.9895534374259303 2.4230000972747803 1.878999948501587
1.295244 2.589057089204989 2.0677232532267373 2.5210001468658447 1.9390000104904175
1.295268 2.590430708218945 2.0701034143836656 2.6100001335144043 1.940999984741211
1.296453 2.668678115851425 2.2166145605785283 2.6110000610351562 1.9720001220703125
1.296668 2.681596713783155 2.2389275737711007 2.6130001544952393 2.0330002307891846
1.296638 2.6821874462636743 2.242850341330354 2.640000104904175 2.1510000228881836
1.29684 2.7121615001452257 2.315616079130569 2.703000068664551 2.182000160217285
1.297034 2.748095443780853 2.4050684126065884 2.7660000324249268 2.2139999866485596
1.297075 2.762672386947583 2.443636519805142 2.802999973297119 2.2160000801086426
1.297328 2.800448669086346 2.5323424844883844 2.803999900817871 2.2770001888275146
1.297287 2.8101268093722 2.5621954033443215 2.804999828338623 2.3380000591278076
1.297369 2.812096473516135 2.5620171960069396 2.868000030517578 2.369999885559082
1.297628 2.853689249993233 2.6593002785674345 2.9049999713897705 2.430999994277954
1.297618 2.8860516319490785 2.748378253344336 2.871000051498413 2.492999792098999
1.297688 2.8901146745023674 2.75470209307212 2.9079999923706055 2.5249998569488525
1.298039 2.9450239232581894 2.8791567068813455 2.936000108718872 2.5859999656677246
1.298081 2.9586335660198104 2.9126964146248793 2.937999963760376 2.61899995803833
1.298074 2.9582641020533065 2.9121745809116666 2.878000020980835 2.679999828338623
1.298486 2.9923123186249945 2.9753982828874417 2.8440001010894775 2.7129998207092285
1.298853 3.01976358368373 3.0237086589866897 2.871999979019165 2.7749998569488525
1.298872 3.019985132342732 3.02304090697871 2.934999942779541 2.8369998931884766
1.299277 3.093696411656551 3.189157634628799 2.999000072479248 2.8999998569488525
1.299916 3.1347048873025765 3.253652971866076 2.9750001430511475 2.9619998931884766
1.299917 3.134735538591005 3.2536669431841743 2.940999984741211 3.053999900817871
1.300066 3.2090096678263165 3.4340519276475767 3.0400002002716064 3.1570000648498535
1.300095 3.2540693556015974 3.546051296476686 3.1030001640319824 3.258999824523926
1.300192 3.257770192231985 3.549228009769684 3.1410000324249268 3.2929999828338623
1.300645 3.3112745103226704 3.654675196083304 3.2319998741149902 3.2960000038146973
1.301625 3.3743708674029445 3.749731123217805 3.3929998874664307 3.3400001525878906
1.301661 3.3782603150109947 3.7570982421220616 3.5450000762939453 3.373000144958496
1.301571 3.4187862678107677 3.8629617767210016 3.6449999809265137 3.4759998321533203
1.301842 3.46183314745184 3.951702217398977 3.7360000610351562 3.549999952316284
1.301865 3.4641480489405456 3.9559321979503435 3.799999952316284 3.5829999446868896
1.302432 3.5457540290676017 4.119417981342328 3.8989999294281006 3.686999797821045
1.301856 3.553747633259924 4.174453616037856 4.060999870300293 3.7320001125335693
1.301855 3.5549888965403538 4.177515056640042 4.1620001792907715 3.805999994277954
1.30165 3.5972474684625677 4.2918397058982505 4.226999759674072 3.8499999046325684
1.301554 3.612007682913186 4.333062725264591 4.290999889373779 3.8540000915527344
1.301447 3.6082860900180536 4.330619119745488 4.515999794006348 3.8980000019073486
1.301261 3.7009627809878722 4.562475867816174 4.64300012588501 3.9029998779296875
1.301264 3.7288015992422787 4.628127483725369 4.769999980926514 3.9679999351501465
1.301235 3.7293565854007387 4.631152124610072 4.800000190734863 4.073999881744385
1.301266 3.7998867346719485 4.795245920892837 4.865000247955322 4.209000110626221
1.30166 3.841824257398835 4.870317675681092 4.931000232696533 4.306000232696533
1.30167 3.8427580635839766 4.871913559728066 4.995999813079834 4.38100004196167
1.30216 3.938347057151529 5.065831726644739 5.0889997482299805 4.478000164031982
1.302263 3.9984444750738155 5.198981106455252 5.154000282287598 4.513000011444092
1.302626 4.009151543826763 5.202479957491446 5.2820000648498535 4.6489996910095215
1.302515 4.1029805392184056 5.424947610677477 5.437000274658203 4.654000282287598
1.302963 4.174993923966194 5.563763678398336 5.4670000076293945 4.720000267028809
1.302984 4.177459618946962 5.568175088162518 5.497000217437744 4.7260003089904785
1.303454 4.289488422087709 5.795931426109403 5.5269999504089355 4.761000156402588
1.303431 4.3503523615777375 5.93515877036289 5.619999885559082 4.805999755859375
1.303437 4.352174841543928 5.9389331231302265 5.685999870300293 4.9029998779296875
1.304591 4.4397840158134825 6.069544974207511 5.751999855041504 5.030999660491943
1.304872 4.568945101900035 6.343352742494805 5.817999839782715 5.098999977111816
1.304901 4.573442207118524 6.351730897285637 5.920000076293945 5.197000026702881
1.305399 4.706206557522128 6.619118977551634 5.923999786376953 5.296000003814697
1.306094 4.794450888477652 6.774520453371834 5.989999771118164 5.363999843597412
1.306087 4.7958530507568105 6.778046871878037 6.0929999351501465 5.49399995803833
1.306657 4.967122055691381 7.1234670488880045 6.194999694824219 5.625
1.307405 5.074896860400429 7.316472200875481 6.26200008392334 5.816999912261963
1.307478 5.0834330268904955 7.3308893862278 6.3919997215271 5.947999954223633
1.307752 5.226278261179213 7.627883197869721 6.523000240325928 6.140999794006348
1.308302 5.313655626409183 7.785955630942641 6.653000354766846 6.3339996337890625
1.30773 5.2873075735539645 7.7626359804207805 6.819999694824219 6.599999904632568
1.308743 5.524369828657941 8.218139615263633 6.986000061035156 6.823999881744385
1.309334 5.603778817842821 8.354615062417759 7.153000354766846 7.048000335693359
1.309266 5.6061287361269345 8.363832400173836 7.3480000495910645 7.284999847412109
1.309874 5.855648916939557 8.865834907255659 7.5420002937316895 7.553999900817871
1.309884 5.958510853250488 9.086541603601344 7.7729997634887695 7.822000503540039
1.309815 5.956078705408963 9.085523442857797 8.005000114440918 8.060999870300293
1.310432 6.0982262707999455 9.352832702567271 8.27199935913086 8.36199951171875
1.310619 6.235244614636594 9.634606809782213 8.531000137329102 8.632999420166016
1.310612 6.233661653186208 9.631654360686271 8.76300048828125 8.934999465942383
1.311287 6.626849893438853 10.42757901219665 9.02299976348877 9.206999778747559
1.311938 6.784954592713327 10.7221560461347 9.356000900268555 9.585000038146973
1.311511 6.76331462394854 10.703138945478269 9.625 9.921000480651855
1.312257 6.941266983362207 11.032822650831443 9.857999801635742 10.301000595092773
