x prx pry gtx gty
1.0 0.1165372606627624 0.28373244292384114 0.0 0.0
1.28995 1.2809073593214537 2.060017596086359 1.8140000104904175 1.9809999465942383
1.28923 1.2568495890582496 2.0187854172195685 1.8289999961853027 1.934000015258789
1.289947 1.2912418654796152 2.082651740980572 1.8410000801086426 1.8969999551773071
1.29015 1.301923348056017 2.102730866121616 1.8519999980926514 1.906000018119812
1.290616 1.317835066263661 2.1299303585067264 1.8600000143051147 1.878000020980835
1.290999 1.334330595137091 2.1596474052946637 1.8680000305175781 1.9199999570846558
1.291419 1.3446483538111187 2.1752092198946746 1.8739999532699585 1.9249999523162842
1.291777 1.3535906919792564 2.1887334988566587 1.8799999952316284 1.9300000667572021
1.292378 1.3665494445520676 2.2068465420693344 1.8819999694824219 1.903999924659729
1.292558 1.3733569263459506 2.21859813473241 1.8830000162124634 1.906000018119812
1.293677 1.3935808543400448 2.243357529388852 1.8849999904632568 1.8209999799728394
1.295263 1.419036004470553 2.270665232053699 1.8870000839233398 1.8220000267028809
1.295825 1.4302495957623593 2.284841404535163 1.8889999389648438 1.7100000381469727
1.296869 1.4484705512425071 2.305197106614123 1.8899999856948853 1.7400000095367432
1.298369 1.5069506829564285 2.4029805549240173 1.9259999990463257 1.7419999837875366
1.298915 1.5232768121727243 2.427596431630314 1.9630000591278076 1.7430000305175781
1.299649 1.5396814728176345 2.4485742119770726 1.9640001058578491 1.6579999923706055
1.301164 1.5685106317922697 2.4803295841741284 1.9660000801086426 1.6309999227523804
1.300957 1.5711363206779656 2.490062733573441 1.968000054359436 1.6610000133514404
1.301413 1.579614849932667 2.499023217689287 1.9690001010894775 1.690999984741211
1.301776 1.590954234857422 2.5158681139847108 1.971000075340271 1.5780000686645508
1.302148 1.6027773553593694 2.5334839886841567 1.972999930381775 1.5219999551773071
1.30223 1.619963920736828 2.5683877694678627 1.9739998579025269 1.5230000019073486
1.30278 1.6588943421861149 2.63981542462147 2.010999917984009 1.4959999322891235
1.303093 1.6701220424143879 2.6571276696763517 2.0480000972747803 1.468999981880188
1.303331 1.68573571330162 2.685272812173096 2.049999952316284 1.5269999504089355
1.304155 1.7079012168517709 2.714743257863034 2.0510001182556152 1.5290000438690186
1.304925 1.7262870724410455 2.7370218457870292 2.052999973297119 1.6459999084472656
1.305864 1.7494186958113218 2.76526523546788 2.055000066757202 1.7049999237060547
1.305995 1.7576184352326965 2.7796653052209592 2.0920000076293945 1.6779999732971191
1.30632 1.7682509540317564 2.7948397192712466 2.0940001010894775 1.7089999914169312
1.306947 1.8215858169214199 2.8930803040452675 2.0949997901916504 1.8550000190734863
1.307682 1.8494633515462056 2.934822161392792 2.132999897003174 1.9429999589920044
1.308132 1.8629521669804923 2.952676308371445 2.197000026702881 1.9450000524520874
1.309085 1.8950349438592995 2.9974529558829413 2.2960000038146973 1.9470000267028809
1.310051 1.9215613662282385 3.029687938602026 2.2980000972747803 1.9769998788833618
1.310699 1.942076696297363 3.056681993607545 2.299999952316284 2.006999969482422
1.310324 1.9375575521924144 3.0564768113009557 2.3010001182556152 1.9499999284744263
1.311159 1.9632390498733063 3.0894598064327674 2.330000162124634 1.9809999465942383
1.311352 1.983251076009482 3.1264044615450146 2.3589999675750732 2.069999933242798
1.311509 2.021945151310915 3.203205166138866 2.3610000610351562 2.1009998321533203
1.312311 2.0608660990608265 3.26380939587329 2.3630001544952393 2.0429999828338623
1.312409 2.070276034355991 3.280875455887281 2.4000000953674316 1.9869999885559082
1.312764 2.086145862455311 3.3046714974082723 2.5279998779296875 1.9600000381469727
1.313265 2.1205983298034377 3.3631606336437425 2.556999921798706 1.9910000562667847
1.313976 2.183205722800387 3.474229144493663 2.557999849319458 2.0220000743865967
1.314132 2.1941405205082374 3.492702807309434 2.5959999561309814 2.05400013923645
1.314432 2.227628519717184 3.554024942072146 2.6619999408721924 2.055999994277954
1.315982 2.274653261527279 3.6081611041234583 2.700000047683716 2.058000087738037
1.316141 2.3224847735054746 3.702593420510823 2.640000104904175 2.1480000019073486
1.316722 2.3655438190556404 3.7748417965660654 2.642000198364258 2.2380001544952393
1.317468 2.4047297174859463 3.8338425089802906 2.678999900817871 2.240000009536743
1.317713 2.4253158269804636 3.869030179840435 2.7809998989105225 2.3289999961853027
1.318045 2.446057376579296 3.901849498725771 2.819000005722046 2.3320000171661377
1.319071 2.480528676293521 3.9416106602168637 2.7950000762939453 2.364000082015991
1.318508 2.4817192095822285 3.961313246775094 2.7960000038146973 2.4839999675750732
1.318806 2.5002121504723793 3.9902754599862744 2.861999988555908 2.6040000915527344
1.320368 2.5566866884632224 4.057564962645769 2.927000045776367 2.694000005722046
1.320725 2.5806023797776874 4.095243308438906 2.930999994277954 2.75600004196167
1.321216 2.6379063370354467 4.196867327815112 2.933000087738037 2.8580000400543213
1.321794 2.6771867260663296 4.25836563706499 2.934999942779541 2.9190001487731934
1.321956 2.6981210347804465 4.295851968071416 2.9639999866485596 2.921999931335449
