x prx pry gtx gty
1.0 0.3898564318682926 0.03201671949810346 0.0 0.0
1.28995 1.943165785387631 1.5064660298175445 2.2009999752044678 1.5049999952316284
1.28955 1.935713208978237 1.5040023075026583 2.1730000972747803 1.4639999866485596
1.289328 1.9313859371301934 1.5016275132957033 2.1500000953674316 1.475000023841858
1.290003 1.9661271141520418 1.6056498526960399 2.131999969482422 1.5219999551773071
1.290066 1.970650315614696 1.6205874165528147 2.117000102996826 1.5260000228881836
1.290066 1.9708432711335464 1.6214178945380116 2.1440000534057617 1.5299999713897705
1.290725 1.990635517093992 1.6581477667035835 2.129999876022339 1.5640000104904175
1.290753 1.9951780846575506 1.6753537342506555 2.11899995803833 1.565000057220459
1.290729 1.9948891261537776 1.6758556766006862 2.1540000438690186 1.624000072479248
1.291174 2.017634095619513 1.7388863134693615 2.18999981880188 1.6540000438690186
1.291463 2.041045789550923 1.8134982507055837 2.2260000705718994 1.656000018119812
1.291463 2.041658447013803 1.815924193935452 2.2279999256134033 1.5999999046325684
1.291781 2.059478034468814 1.8649191524788777 2.2290000915527344 1.6589999198913574
1.291808 2.0716081744603647 1.909942342563236 2.2909998893737793 1.6610000133514404
1.29183 2.0721619909961775 1.9106625771407897 2.257999897003174 1.691999912261963
1.292043 2.1054078659139215 2.022114274082845 2.2239999771118164 1.694000005722046
1.293068 2.1303164027251973 2.051549746052994 2.259999990463257 1.7239999771118164
1.29305 2.1308798936763815 2.054733647352677 2.322000026702881 1.7839999198913574
1.293722 2.1707315545378507 2.1590540422071727 2.384999990463257 1.7860000133514404
1.293656 2.178997669913923 2.1925585373613483 2.4210000038146973 1.8459999561309814
1.293691 2.1801013264130655 2.1944304137983495 2.38700008392334 1.906000018119812
1.294472 2.209533524004305 2.2528427464756895 2.4230000972747803 1.878999948501587
1.295244 2.243560702997259 2.3270058742498128 2.5210001468658447 1.9390000104904175
1.295268 2.244611887548638 2.329270077217546 2.6100001335144043 1.940999984741211
1.296453 2.3046213945272234 2.4676840845827823 2.6110000610351562 1.9720001220703125
1.296668 2.3144979365878497 2.4889900516294574 2.6130001544952393 2.0330002307891846
1.296638 2.31498981078979 2.492420288371716 2.640000104904175 2.1510000228881836
1.29684 2.338203925787381 2.559690851016459 2.703000068664551 2.182000160217285
1.297034 2.366089955567909 2.642371016064317 2.7660000324249268 2.2139999866485596
1.297075 2.3774516116813054 2.6779037155543404 2.802999973297119 2.2160000801086426
1.297328 2.406705756060746 2.7605196089492474 2.803999900817871 2.2770001888275146
1.297287 2.414349416191787 2.787813027026887 2.804999828338623 2.3380000591278076
1.297369 2.415775727559179 2.78801308793827 2.868000030517578 2.369999885559082
1.297628 2.4479977054182336 2.87887492350513 2.9049999713897705 2.430999994277954
1.297618 2.473402400621971 2.9612377201272806 2.871000051498413 2.492999792098999
1.297688 2.4764746850903445 2.967395224214626 2.9079999923706055 2.5249998569488525
1.298039 2.5189649469742386 3.084403983572349 2.936000108718872 2.5859999656677246
1.298081 2.529571219540989 3.1157835799501687 2.937999963760376 2.61899995803833
1.298074 2.5292938967041043 3.115268985394729 2.878000020980835 2.679999828338623
1.298486 2.555261082984233 3.175858314656921 2.8440001010894775 2.7129998207092285
1.298853 2.5761183547947755 3.222422314481564 2.871999979019165 2.7749998569488525
1.298872 2.5762584448522565 3.221877864297826 2.934999942779541 2.8369998931884766
1.299277 2.6332353024670443 3.3788193735600585 2.999000072479248 2.8999998569488525
1.299916 2.6641274308615017 3.441817732512447 2.9750001430511475 2.9619998931884766
1.299917 2.6641495766981946 3.4418348576141544 2.940999984741211 3.053999900817871
1.300066 2.721919648417302 3.6119170639739515 3.0400002002716064 3.1570000648498535
1.300095 2.7571101405194955 3.7176538568657223 3.1030001640319824 3.258999824523926
1.300192 2.7597955276764603 3.7210020334607807 3.1410000324249268 3.2929999828338623
1.300645 2.8006508024672514 3.8222856783579897 3.2319998741149902 3.2960000038146973
1.301625 2.84783040765504 3.9157414268564246 3.3929998874664307 3.3400001525878906
1.301661 2.850787662232317 3.9228447383409395 3.5450000762939453 3.373000144958496
1.301571 2.8825596402186404 4.022852947127123 3.6449999809265137 3.4759998321533203
1.301842 2.9155213336168675 4.108033548603147 3.7360000610351562 3.549999952316284
1.301865 2.9172743781865456 4.112129764046322 3.799999952316284 3.5829999446868896
1.302432 2.979565709458136 4.269519489182229 3.8989999294281006 3.686999797821045
1.301856 2.9871843246342764 4.320248322817312 4.060999870300293 3.7320001125335693
1.301855 2.9881558177047003 4.323168310185103 4.1620001792907715 3.805999994277954
1.30165 3.0217142923412568 4.431911124624535 4.226999759674072 3.8499999046325684
1.301554 3.03352824320008 4.471155669061824 4.290999889373779 3.8540000915527344
1.301447 3.0309233256301447 4.468550484577885 4.515999794006348 3.8980000019073486
1.301261 3.104111006088055 4.690952373077587 4.64300012588501 3.9029998779296875
1.301264 3.1259416264449986 4.754238814597052 4.769999980926514 3.9679999351501465
1.301235 3.12647488455885 4.757106335578906 4.800000190734863 4.073999881744385
1.301266 3.181743019224612 4.91567025172534 4.865000247955322 4.209000110626221
1.30166 3.2132531742104558 4.98883127990729 4.931000232696533 4.306000232696533
1.30167 3.2139501073426917 4.990388814797883 4.995999813079834 4.38100004196167
1.30216 3.287146080493497 5.178826761933754 5.0889997482299805 4.478000164031982
1.302263 3.333890060071582 5.308164261132711 5.154000282287598 4.513000011444092
1.302626 3.340908896037468 5.311859566137839 5.2820000648498535 4.6489996910095215
1.302515 3.414909539969817 5.528157028923103 5.437000274658203 4.654000282287598
1.302963 3.4695608938928397 5.663566729026532 5.4670000076293945 4.720000267028809
1.302984 3.4714075923531356 5.66787147140651 5.497000217437744 4.7260003089904785
1.303454 3.557251790731625 5.8901688086855675 5.5269999504089355 4.761000156402588
1.303431 3.6050768911302726 6.026342389091765 5.619999885559082 4.805999755859375
1.303437 3.6064796602159648 6.030033534197302 5.685999870300293 4.9029998779296875
1.304591 3.670035572539376 6.15719487017258 5.751999855041504 5.030999660491943
1.304872 3.7698001911478918 6.425005565927025 5.817999839782715 5.098999977111816
1.304901 3.7731860388218874 6.433187059099181 5.920000076293945 5.197000026702881
1.305399 3.874709571883219 6.6948384561864875 5.923999786376953 5.296000003814697
1.306094 3.940386599500661 6.8463164224234845 5.989999771118164 5.363999843597412
1.306087 3.9415142551224753 6.849788382590305 6.0929999351501465 5.49399995803833
1.306657 4.072490159407697 7.1880628978460654 6.194999694824219 5.625
1.307405 4.152877826772009 7.376138630458255 6.26200008392334 5.816999912261963
1.307478 4.159172561969946 7.390142442353605 6.3919997215271 5.947999954223633
1.307752 4.269172728096588 7.68162313492254 6.523000240325928 6.140999794006348
1.308302 4.3344303124314285 7.835614519853129 6.653000354766846 6.3339996337890625
1.30773 4.316920164350927 7.814461083989627 6.819999694824219 6.599999904632568
1.308743 4.49633447192826 8.260003334569165 6.986000061035156 6.823999881744385
1.309334 4.55493423322342 8.392255143801815 7.153000354766846 7.048000335693359
1.309266 4.557145123687239 8.401615642841541 7.3480000495910645 7.284999847412109
1.309874 4.748150036639759 8.894323420636107 7.5420002937316895 7.553999900817871
1.309884 4.828370207771066 9.112408604973746 7.7729997634887695 7.822000503540039
1.309815 4.826908439646108 9.111787676104774 8.005000114440918 8.060999870300293
1.310432 4.933963788302139 9.372620056988668 8.27199935913086 8.36199951171875
1.310619 5.039754749988446 9.65027605510891 8.531000137329102 8.632999420166016
1.310612 5.038564920178766 9.647398988121676 8.76300048828125 8.934999465942383
1.311287 5.341376139645726 10.43122851329186 9.02299976348877 9.206999778747559
1.311938 5.460266454635967 10.717940279162216 9.356000900268555 9.585000038146973
1.311511 5.446597327653545 10.702767255465645 9.625 9.921000480651855
1.312257 5.58022276872561 11.023240461926239 9.857999801635742 10.301000595092773
1.313038 5.75355898676676 11.446244080007771 10.192000389099121 10.64900016784668
1.312983 5.749827082728896 11.439144436655004 10.489999771118164 11.052000045776367
