x prx pry gtx gty
1.0 0.1165372606627624 0.28373244292384114 0.0 0.0
1.28995 1.2809073593214537 2.060017596086359 2.2009999752044678 1.5049999952316284
1.28955 1.2761201184025104 2.055911504386329 2.1730000972747803 1.4639999866485596
1.289328 1.2730706890837964 2.0527514827672917 2.1500000953674316 1.475000023841858
1.290003 1.3213884864789007 2.1476040693230947 2.131999969482422 1.5219999551773071
1.290066 1.3280069716218006 2.1610379744506765 2.117000102996826 1.5260000228881836
1.290066 1.3283411453790546 2.161767509974539 2.1440000534057617 1.5299999713897705
1.290725 1.3495350366607566 2.1972777266506465 2.129999876022339 1.5640000104904175
1.290753 1.3567359528669283 2.212514029878794 2.11899995803833 1.565000057220459
1.290729 1.356702121691219 2.212834370291534 2.1540000438690186 1.624000072479248
1.291174 1.386465686684629 2.2703150859503296 2.18999981880188 1.6540000438690186
1.291463 1.419362325569654 2.3370687605637483 2.2260000705718994 1.656000018119812
1.291463 1.4203371531699198 2.339189423580028 2.2279999256134033 1.5999999046325684
1.291781 1.4432509879421767 2.3836351692931936 2.2290000915527344 1.6589999198913574
1.291808 1.461606123880885 2.4230752456025826 2.2909998893737793 1.6610000133514404
1.29183 1.4621209789577083 2.423818033531879 2.257999897003174 1.691999912261963
1.292043 1.5090228019140197 2.5220770470536444 2.2239999771118164 1.694000005722046
1.293068 1.5316305861702446 2.5531733335912206 2.259999990463257 1.7239999771118164
1.29305 1.5327173219485615 2.555848652020564 2.322000026702881 1.7839999198913574
1.293722 1.5818470144432752 2.6502971719648 2.384999990463257 1.7860000133514404
1.293656 1.5945753617552214 2.6790675005130113 2.4210000038146973 1.8459999561309814
1.293691 1.5957088935549406 2.680888140004709 2.38700008392334 1.906000018119812
1.294472 1.6277866962274703 2.7360234577128146 2.4230000972747803 1.878999948501587
1.295244 1.666302919728348 2.804873206562968 2.5210001468658447 1.9390000104904175
1.295268 1.6674871946512748 2.806978877436959 2.6100001335144043 1.940999984741211
1.296453 1.7369523183173086 2.934166131557854 2.6110000610351562 1.9720001220703125
1.296668 1.7480834615236331 2.9539579299903105 2.6130001544952393 2.0330002307891846
1.296638 1.7491086299934901 2.956756150921693 2.640000104904175 2.1510000228881836
1.29684 1.778617494878169 3.0163835588907824 2.703000068664551 2.182000160217285
1.297034 1.8142527616174187 3.08933450838958 2.7660000324249268 2.2139999866485596
1.297075 1.8290551333078842 3.1204238651272287 2.802999973297119 2.2160000801086426
1.297328 1.865409484337775 3.193680246092049 2.803999900817871 2.2770001888275146
1.297287 1.875884792907876 3.21710751217635 2.804999828338623 2.3380000591278076
1.297369 1.876980229484507 3.2177920510761164 2.868000030517578 2.369999885559082
1.297628 1.9167686940908981 3.29825641190564 2.9049999713897705 2.430999994277954
1.297618 1.949767620602313 3.3696550344019376 2.871000051498413 2.492999792098999
1.297688 1.9531292768167132 3.3754422238813477 2.9079999923706055 2.5249998569488525
1.298039 2.0046632569571736 3.4792233183503956 2.936000108718872 2.5859999656677246
1.298081 2.0178227681764898 3.5067272464335186 2.937999963760376 2.61899995803833
1.298074 2.0175253339630945 3.5062352935248153 2.878000020980835 2.679999828338623
1.298486 2.0472577201244153 3.561511801630843 2.8440001010894775 2.7129998207092285
1.298853 2.0708347795492577 3.604361236203589 2.871999979019165 2.7749998569488525
1.298872 2.070867254075221 3.6040146264403288 2.934999942779541 2.8369998931884766
1.299277 2.1394919881234737 3.743039749830372 2.999000072479248 2.8999998569488525
1.299916 2.1736076116611107 3.802151510696773 2.9750001430511475 2.9619998931884766
1.299917 2.1736282900843173 3.8021732905312926 2.940999984741211 3.053999900817871
1.300066 2.244281243700333 3.9510904514131844 3.0400002002716064 3.1570000648498535
1.300095 2.2873037010749107 4.043275919451493 3.1030001640319824 3.258999824523926
1.300192 2.2900276476004664 4.046874810051829 3.1410000324249268 3.2929999828338623
1.300645 2.337347139697834 4.138267614761668 3.2319998741149902 3.2960000038146973
1.301625 2.3894146342141522 4.226826000814859 3.3929998874664307 3.3400001525878906
1.301661 2.392820690317851 4.233283442539874 3.5450000762939453 3.373000144958496
1.301571 2.4319194571682075 4.319805580494512 3.6449999809265137 3.4759998321533203
1.301842 2.4704242370418066 4.39613104898679 3.7360000610351562 3.549999952316284
1.301865 2.4724281517341566 4.399878130511825 3.799999952316284 3.5829999446868896
1.302432 2.544783130730519 4.541601663259212 3.8989999294281006 3.686999797821045
1.301856 2.5564191356939436 4.581496934799743 4.060999870300293 3.7320001125335693
1.301855 2.5575835973674783 4.584039832206436 4.1620001792907715 3.805999994277954
1.30165 2.5983353858868017 4.6774763386185185 4.226999759674072 3.8499999046325684
1.301554 2.6126850447576677 4.711036798510074 4.290999889373779 3.8540000915527344
1.301447 2.609977419442383 4.707938632795976 4.515999794006348 3.8980000019073486
1.301261 2.696709164151879 4.900978430311087 4.64300012588501 3.9029998779296875
