# Xlam,PX,Ylam,PY
1.051496620534277282e+00,2.058629776021080483e-03,1.051136363636363757e+00,5.441973788344536475e-03
1.053749597682652084e+00,4.999529456051195024e-03,1.053409090909090962e+00,6.413754821977489355e-03
1.055841647891857082e+00,3.038929669364451996e-03,1.055519480519480524e+00,4.470192754711583595e-03
1.057933698101062081e+00,4.019229562707823944e-03,1.057792207792207728e+00,3.498411721078630715e-03
1.060025748310267080e+00,4.999529456051195024e-03,1.059902597402597291e+00,6.413754821977489355e-03
1.061795944641132916e+00,2.058629776021080483e-03,1.061850649350649434e+00,6.413754821977489355e-03
1.063887994850337915e+00,4.999529456051195024e-03,1.063636363636363713e+00,5.441973788344536475e-03
1.066140971998712494e+00,4.999529456051195024e-03,1.065909090909090917e+00,5.441973788344536475e-03
1.068393949147087296e+00,5.979829349394566104e-03,1.068019480519480480e+00,3.498411721078630715e-03
1.070485999356292295e+00,4.999529456051195024e-03,1.070292207792207684e+00,6.413754821977489355e-03
1.072738976504666875e+00,4.999529456051195024e-03,1.072402597402597246e+00,5.441973788344536475e-03
1.074991953653041454e+00,4.999529456051195024e-03,1.074675324675324672e+00,5.441973788344536475e-03
1.077244930801416034e+00,4.999529456051195024e-03,1.076785714285714235e+00,6.413754821977489355e-03
1.079336981010621033e+00,4.999529456051195024e-03,1.079058441558441661e+00,5.441973788344536475e-03
1.081589958158995834e+00,4.999529456051195024e-03,1.081331168831168865e+00,6.413754821977489355e-03
1.083360154489861671e+00,4.999529456051195024e-03,1.083279220779220786e+00,7.385535855610442235e-03
1.085452204699066669e+00,3.038929669364451996e-03,1.085064935064935066e+00,7.385535855610442235e-03
1.087705181847441249e+00,4.999529456051195024e-03,1.087337662337662270e+00,7.385535855610442235e-03
1.089958158995815829e+00,4.999529456051195024e-03,1.089610389610389474e+00,7.385535855610442235e-03
1.092211136144190409e+00,4.019229562707823944e-03,1.091883116883116900e+00,8.357316889243395983e-03
1.094464113292565211e+00,4.999529456051195024e-03,1.094155844155844104e+00,8.357316889243395983e-03
1.096717090440939790e+00,4.999529456051195024e-03,1.096266233766233666e+00,9.329097922876347995e-03
1.098970067589314370e+00,4.999529456051195024e-03,1.098538961038961093e+00,1.136983809350554896e-02
1.101223044737688950e+00,5.979829349394566104e-03,1.100811688311688297e+00,1.234161912713850270e-02
1.103476021886063752e+00,5.979829349394566104e-03,1.103084415584415501e+00,1.136983809350554896e-02
1.105246218216929588e+00,5.979829349394566104e-03,1.105194805194805063e+00,1.428518119440440673e-02
1.107338268426134587e+00,5.979829349394566104e-03,1.106980519480519343e+00,1.234161912713850270e-02
1.109591245574509166e+00,5.979829349394566104e-03,1.109253246753246769e+00,1.234161912713850270e-02
1.112005149662053327e+00,5.979829349394566104e-03,1.111688311688311614e+00,1.428518119440440673e-02
1.114258126810428129e+00,5.979829349394566104e-03,1.113961038961039041e+00,1.525696222803736048e-02
1.116511103958802487e+00,5.979829349394566104e-03,1.116233766233766245e+00,1.525696222803736048e-02
1.118764081107177288e+00,6.960129242737938919e-03,1.118506493506493671e+00,1.622874326167031422e-02
1.121017058255551868e+00,5.979829349394566104e-03,1.120779220779220653e+00,1.720052429530326624e-02
1.123270035403926670e+00,7.940429136081309999e-03,1.123051948051948079e+00,1.817230532893621825e-02
1.125523012552301250e+00,8.920729029424681947e-03,1.125324675324675283e+00,2.011586739620212574e-02
1.127454135822336667e+00,9.901028922768053894e-03,1.127435064935064846e+00,1.914408636256917373e-02
1.129546186031541666e+00,1.186162870945479605e-02,1.129383116883116767e+00,2.118482653319837469e-02
1.131960090119085827e+00,1.088132881611142411e-02,1.131655844155844193e+00,2.410016963409723073e-02
1.134213067267460406e+00,1.186162870945479605e-02,1.133928571428571397e+00,2.312838860046428219e-02
1.136626971355004789e+00,1.186162870945479605e-02,1.136363636363636243e+00,2.604373170136313823e-02
1.139040875442548950e+00,1.186162870945479605e-02,1.138636363636363669e+00,2.993085583589494975e-02
1.141293852590923752e+00,1.284192860279816800e-02,1.141071428571428514e+00,3.099981497289119869e-02
1.143707756678467913e+00,1.382222849614153995e-02,1.143344155844155940e+00,3.294337704015710272e-02
1.145960733826842715e+00,1.284192860279816800e-02,1.145779220779220786e+00,3.780228220832186625e-02
1.148374637914386875e+00,1.862569797352406006e-02,1.148051948051947990e+00,3.877406324195482173e-02
1.150305761184422293e+00,1.666509818683731964e-02,1.150324675324675416e+00,4.178658444621697471e-02
1.152397811393627292e+00,1.666509818683731964e-02,1.152272727272727115e+00,4.567370858074878970e-02
1.154811715481171452e+00,1.862569797352406006e-02,1.154545454545454541e+00,4.664548961438173824e-02
1.157225619568715613e+00,1.960599786686743201e-02,1.156980519480519387e+00,5.053261374891355323e-02
1.159639523656259996e+00,1.862569797352406006e-02,1.159415584415584455e+00,5.257335391954275766e-02
1.162053427743804157e+00,2.254689754689754785e-02,1.161688311688311659e+00,5.743225908770751426e-02
1.164467331831348540e+00,2.254689754689754785e-02,1.164123376623376727e+00,6.238834235923557819e-02
1.166720308979723120e+00,2.156659765355417591e-02,1.166558441558441572e+00,6.238834235923557819e-02
1.169134213067267503e+00,2.646809712027103564e-02,1.168831168831168776e+00,7.016259062829920123e-02
