Lambda11(-),Lambda22(-),Sigma11(MPa),Sigma22(MPa)
1.377899,1.403292,0.035959,0.021784
1.378525,1.405456,0.037054,0.022530
1.379515,1.408018,0.038312,0.023330
1.380993,1.408726,0.039574,0.024060
1.382595,1.409946,0.040952,0.024951
1.384498,1.411176,0.042448,0.025737
1.387142,1.412983,0.044063,0.026631
1.387309,1.413705,0.045906,0.027597
1.389510,1.414972,0.047706,0.028565
1.390056,1.418123,0.049624,0.029695
1.392788,1.419797,0.051611,0.030828
1.393822,1.421612,0.053702,0.031852
1.395392,1.424328,0.055996,0.033059
1.397575,1.424834,0.058346,0.034375
1.400409,1.426234,0.060931,0.035675
1.401940,1.428347,0.063821,0.037138
1.403837,1.429065,0.066947,0.038622
1.405193,1.431193,0.070146,0.040161
1.406990,1.432968,0.071579,0.040930
1.408364,1.435029,0.073097,0.041629
1.410759,1.436838,0.074576,0.042376
1.412572,1.440003,0.076071,0.043183
1.414740,1.440664,0.077686,0.043961
1.416907,1.442106,0.079460,0.044909
1.419525,1.443973,0.081451,0.045685
