Lambda11(-),Lambda22(-),Sigma11(MPa),Sigma22(MPa)
1.000000,1.000000,0.000000,0.000000
1.000000,1.000000,0.003863,0.000820
1.000431,0.999279,0.003865,0.000956
1.000695,0.999485,0.003948,0.000974
1.000695,0.999485,0.003942,0.000989
1.001460,1.000087,0.004006,0.000887
1.001793,1.000460,0.003997,0.000907
1.001793,1.000460,0.003990,0.000989
1.004336,1.002979,0.004039,0.001105
1.004443,1.003709,0.004097,0.001258
1.004967,1.004902,0.004155,0.001411
1.005426,1.005209,0.004158,0.001564
1.005695,1.005987,0.004216,0.001762
1.005952,1.006639,0.004316,0.001764
1.007027,1.006946,0.004415,0.001826
1.007724,1.007397,0.004418,0.001933
1.007724,1.007397,0.004422,0.001996
1.009008,1.008557,0.004480,0.002043
1.009297,1.007903,0.004525,0.002106
1.009609,1.008226,0.004625,0.002168
1.010058,1.008216,0.004574,0.002367
1.010461,1.008694,0.004577,0.002522
1.010461,1.008694,0.004677,0.002570
1.012247,1.011462,0.004778,0.002572
1.012846,1.011835,0.004879,0.002575
1.012846,1.011835,0.004828,0.002577
1.013607,1.013658,0.004831,0.002579
1.014202,1.014594,0.004835,0.002582
1.014202,1.014594,0.004840,0.002584
1.015400,1.016981,0.004845,0.002632
1.015517,1.017584,0.004848,0.002681
1.015517,1.017584,0.004907,0.002729
1.016707,1.022329,0.004953,0.002731
1.017277,1.023192,0.005069,0.002779
1.017277,1.023192,0.005073,0.002828
1.018192,1.025623,0.005077,0.002877
1.018557,1.026458,0.005136,0.002833
1.019130,1.028345,0.005197,0.002835
1.019478,1.028581,0.005202,0.002838
1.020664,1.029663,0.005109,0.002840
1.021708,1.030426,0.005112,0.002842
1.022101,1.032287,0.005172,0.002845
1.022665,1.034208,0.005274,0.002847
1.022883,1.036022,0.005391,0.002849
1.023676,1.037874,0.005354,0.002852
1.024017,1.038751,0.005357,0.002854
1.024239,1.040285,0.005404,0.002904
1.025230,1.042038,0.005522,0.002906
1.026113,1.043098,0.005528,0.002908
1.027029,1.043960,0.005433,0.002911
1.027558,1.044782,0.005436,0.002866
1.028040,1.045662,0.005483,0.002916
1.028040,1.045662,0.005545,0.003013
1.029176,1.049085,0.005607,0.003063
1.029583,1.050135,0.005554,0.003065
1.030233,1.050817,0.005657,0.003067
1.030094,1.051296,0.005761,0.003117
1.030916,1.053593,0.005823,0.003262
1.031485,1.055723,0.005715,0.003312
1.032407,1.057738,0.005662,0.003315
1.033741,1.058393,0.005766,0.003317
1.034359,1.059128,0.005827,0.003320
1.034667,1.060147,0.005876,0.003418
1.036320,1.062503,0.005768,0.003468
1.036320,1.062503,0.005829,0.003518
1.037303,1.064389,0.005990,0.003616
1.037541,1.064994,0.006153,0.003715
1.039167,1.066373,0.006259,0.003767
1.039774,1.068329,0.006265,0.003770
1.040257,1.070418,0.006326,0.003772
1.041541,1.071611,0.006331,0.003870
1.042278,1.072355,0.006437,0.003970
1.042986,1.074833,0.006487,0.003974
1.043743,1.075861,0.006607,0.003928
1.043977,1.076885,0.006769,0.003931
1.044426,1.078491,0.006774,0.004030
1.045472,1.079918,0.006939,0.004178
1.046590,1.080753,0.007047,0.004181
