Lambda11(-),Lambda22(-),Sigma11(MPa),Sigma22(MPa)
1.115186,1.082377,0.050425,0.026351
1.116017,1.082656,0.053272,0.027643
1.117731,1.084142,0.056305,0.029012
1.119159,1.085302,0.059515,0.030404
1.120144,1.085655,0.063022,0.031830
1.121437,1.086600,0.066488,0.033367
1.124106,1.087281,0.070240,0.034970
1.124650,1.088723,0.074255,0.036651
1.125152,1.088033,0.078570,0.038355
1.125866,1.089453,0.083162,0.040236
1.127600,1.089790,0.087885,0.042086
1.128448,1.090285,0.092802,0.044036
1.129913,1.091027,0.097987,0.046119
1.131451,1.091488,0.103317,0.048248
1.133201,1.092231,0.109101,0.050554
1.133150,1.093149,0.115243,0.052918
1.134032,1.093091,0.121653,0.055360
1.135005,1.094789,0.127987,0.057661
1.136817,1.095286,0.131055,0.058821
1.138465,1.095500,0.134096,0.060045
1.139092,1.097333,0.137423,0.061293
1.140558,1.097685,0.140795,0.062499
1.140476,1.098066,0.144246,0.063829
1.143161,1.098984,0.147738,0.065234
1.143876,1.099598,0.151258,0.066474
