Lambda11(-),Lambda22(-),Sigma11(MPa),Sigma22(MPa)
1.214179,1.087398,0.083551,0.031495
1.217191,1.088945,0.086982,0.032745
1.218703,1.089424,0.090653,0.034129
1.221533,1.089579,0.094366,0.035577
1.224467,1.090563,0.098381,0.037057
1.226444,1.090860,0.102554,0.038671
1.229530,1.091241,0.107002,0.040278
1.230838,1.091482,0.111618,0.041958
1.233108,1.091801,0.116499,0.043762
1.235297,1.092233,0.121625,0.045702
1.237133,1.093705,0.126984,0.047695
1.238670,1.094247,0.132698,0.049855
1.240526,1.094562,0.138722,0.052119
1.244050,1.094844,0.145067,0.054571
1.247330,1.095200,0.151950,0.057150
1.249826,1.096318,0.159269,0.059896
1.253221,1.097374,0.166826,0.062840
1.255289,1.098163,0.174245,0.065713
1.256355,1.099585,0.177909,0.067039
1.257853,1.099570,0.181648,0.068461
1.261492,1.100787,0.185480,0.069873
1.264585,1.101221,0.189326,0.071372
1.266487,1.101765,0.193415,0.072922
1.270141,1.102441,0.197575,0.074503
1.273424,1.103601,0.201829,0.076168
