Lambda11(-),Lambda22(-),Sigma11(MPa),Sigma22(MPa)
1.100468,1.180729,0.056592,0.103002
1.101125,1.182563,0.058366,0.106850
1.101444,1.184614,0.060171,0.110875
1.102736,1.186953,0.061939,0.114986
1.103586,1.188410,0.063815,0.119240
1.105077,1.189752,0.065693,0.123640
1.106520,1.190678,0.067603,0.128150
1.107912,1.192600,0.069727,0.132960
1.108325,1.194209,0.071921,0.137884
1.109670,1.194576,0.074156,0.143054
1.110427,1.195953,0.076530,0.148483
1.111168,1.197827,0.078964,0.154127
1.112148,1.200323,0.081547,0.159999
1.112724,1.201239,0.084336,0.166245
1.113512,1.202823,0.087400,0.173062
1.114549,1.204812,0.090546,0.180281
1.115980,1.206272,0.093822,0.187901
1.117252,1.207641,0.097142,0.195392
1.117587,1.210075,0.098744,0.198970
1.118618,1.210891,0.100389,0.202644
1.119635,1.212653,0.102097,0.206395
1.120704,1.214736,0.103875,0.210382
1.122142,1.215807,0.105640,0.214404
1.123024,1.217353,0.107453,0.218601
1.124020,1.218615,0.109385,0.222975
