Lambda11(-),Lambda22(-),Sigma11(MPa),Sigma22(MPa)
1.000000,1.000000,0.000000,0.000000
1.182060,1.276031,0.002278,0.001109
1.181851,1.275529,0.002273,0.001134
1.182247,1.275631,0.002270,0.001109
1.183036,1.275394,0.002318,0.001089
1.185606,1.275741,0.002312,0.001110
1.185400,1.274514,0.002350,0.001162
1.185726,1.274919,0.002383,0.001174
1.186143,1.275567,0.002440,0.001155
1.186630,1.275939,0.002471,0.001186
1.187387,1.274054,0.002436,0.001157
1.189089,1.273403,0.002439,0.001217
1.190591,1.273166,0.002442,0.001217
1.191577,1.273256,0.002407,0.001218
1.192070,1.272970,0.002410,0.001189
1.193512,1.272615,0.002440,0.001160
1.194289,1.272709,0.002509,0.001131
1.194990,1.272562,0.002511,0.001131
1.195958,1.272407,0.002514,0.001102
1.196446,1.272290,0.002479,0.001132
1.197598,1.271919,0.002481,0.001133
1.198948,1.272374,0.002513,0.001134
1.200422,1.272161,0.002516,0.001165
1.200921,1.272025,0.002453,0.001195
1.201945,1.271603,0.002494,0.001196
1.202934,1.271639,0.002496,0.001226
1.203782,1.271187,0.002499,0.001197
1.204900,1.271007,0.002502,0.001168
1.205794,1.270429,0.002505,0.001229
1.206622,1.270304,0.002507,0.001229
1.208821,1.270290,0.002548,0.001290
1.209572,1.269976,0.002619,0.001381
1.210793,1.269863,0.002660,0.001321
1.211282,1.269746,0.002663,0.001352
1.212142,1.269683,0.002733,0.001322
1.213337,1.268843,0.002774,0.001323
1.214555,1.269401,0.002816,0.001324
1.215282,1.268896,0.002781,0.001325
1.215317,1.269094,0.002783,0.001326
1.216703,1.268647,0.002787,0.001357
1.218402,1.269050,0.002896,0.001388
1.219368,1.268755,0.003045,0.001419
1.220274,1.268665,0.003048,0.001450
1.221120,1.268717,0.003090,0.001451
1.222171,1.268563,0.003161,0.001482
1.223156,1.268370,0.003232,0.001513
1.223989,1.268108,0.003237,0.001514
1.224724,1.268146,0.003201,0.001484
1.225584,1.268328,0.003204,0.001454
1.226654,1.268655,0.003208,0.001455
1.228101,1.268836,0.003319,0.001455
