Lambda11(-),Lambda22(-),Sigma11(MPa),Sigma22(MPa)
1.000000,1.000000,0.000000,0.000000
1.182060,1.276031,0.002070,0.001722
1.182435,1.275647,0.001980,0.001829
1.183924,1.276122,0.002006,0.001780
1.185687,1.276726,0.001989,0.001822
1.186141,1.276994,0.002011,0.001820
1.186430,1.277241,0.001997,0.001852
1.186834,1.277503,0.001944,0.001816
1.187142,1.277891,0.001965,0.001845
1.187173,1.278380,0.001995,0.001788
1.189125,1.278575,0.001933,0.001730
1.190496,1.278975,0.001935,0.001671
1.190942,1.279607,0.002002,0.001553
1.191509,1.280392,0.002005,0.001525
1.191967,1.281014,0.002007,0.001526
1.192544,1.281684,0.002047,0.001528
1.192973,1.283372,0.002050,0.001530
1.194450,1.284663,0.002118,0.001472
1.195504,1.285735,0.002120,0.001504
1.198103,1.286051,0.002151,0.001446
1.198069,1.286184,0.002153,0.001448
1.199754,1.287021,0.002184,0.001390
1.200262,1.287247,0.002252,0.001421
1.200891,1.287094,0.002255,0.001363
1.201547,1.286690,0.002257,0.001395
1.201969,1.286654,0.002326,0.001457
1.202614,1.286615,0.002357,0.001458
1.203578,1.287059,0.002360,0.001458
1.205383,1.287841,0.002362,0.001490
1.206503,1.288680,0.002365,0.001523
1.208032,1.288853,0.002330,0.001463
1.209736,1.289035,0.002332,0.001434
1.210388,1.289266,0.002335,0.001467
1.211161,1.289508,0.002376,0.001438
1.211538,1.290037,0.002446,0.001501
1.212223,1.290269,0.002487,0.001503
1.214219,1.290780,0.002490,0.001474
1.215390,1.290854,0.002531,0.001383
1.215533,1.291807,0.002641,0.001385
1.216594,1.292524,0.002750,0.001418
1.217449,1.292748,0.002753,0.001358
1.219180,1.292765,0.002756,0.001389
1.219682,1.293238,0.002797,0.001452
1.219808,1.293737,0.002907,0.001454
1.220825,1.294277,0.003057,0.001425
1.221458,1.294772,0.003098,0.001395
1.223257,1.295950,0.003140,0.001364
1.224622,1.296384,0.003212,0.001273
1.225727,1.295931,0.003284,0.001275
1.226354,1.296877,0.003327,0.001246
1.227507,1.297856,0.003330,0.001217
1.227964,1.298594,0.003332,0.001249
1.228888,1.300164,0.003365,0.001250
1.229504,1.300405,0.003370,0.001283
1.230322,1.301443,0.003374,0.001285
1.232386,1.302310,0.003338,0.001223
1.232478,1.302775,0.003380,0.001224
1.233295,1.303714,0.003413,0.001194
1.234464,1.304734,0.003457,0.001196
1.236110,1.306126,0.003382,0.001261
1.236527,1.306803,0.003346,0.001293
1.237480,1.307792,0.003349,0.001358
1.238157,1.309038,0.003393,0.001486
1.239168,1.310899,0.003467,0.001583
1.240370,1.311818,0.003432,0.001554
1.241756,1.313155,0.003435,0.001587
1.242985,1.314225,0.003618,0.001685
1.243842,1.315679,0.003662,0.001845
1.244726,1.316808,0.003707,0.001880
1.245669,1.318092,0.003671,0.001818
1.247134,1.319205,0.003744,0.001979
1.248132,1.320764,0.003888,0.002141
1.248822,1.322170,0.004003,0.002303
1.249594,1.323241,0.004038,0.002369
1.250746,1.324651,0.004123,0.002436
1.251069,1.325610,0.004308,0.002567
1.253137,1.326779,0.004494,0.002665
1.254025,1.327839,0.004640,0.002701
1.255167,1.329309,0.004717,0.002737
1.256020,1.331405,0.004873,0.002868
1.257204,1.332485,0.005131,0.002968
1.258574,1.334279,0.005249,0.003004
1.260413,1.335808,0.005396,0.003040
1.261665,1.336693,0.005504,0.003108
1.262371,1.337947,0.005733,0.003240
1.264018,1.339651,0.005961,0.003308
1.264989,1.341593,0.006080,0.003312
1.265592,1.342665,0.006198,0.003315
1.267098,1.344836,0.006317,0.003351
1.268815,1.347745,0.006466,0.003355
1.270119,1.348684,0.006585,0.003424
1.271247,1.349987,0.006663,0.003460
1.272526,1.351780,0.006711,0.003497
1.273010,1.352065,0.006760,0.003501
1.274699,1.353183,0.006838,0.003504
1.276702,1.355061,0.006846,0.003508
1.277487,1.356804,0.006926,0.003545
1.278193,1.360214,0.007078,0.003615
1.279003,1.362078,0.007127,0.003619
1.280264,1.363772,0.007134,0.003623
1.282728,1.365132,0.007174,0.003660
1.284130,1.366453,0.007327,0.003808
1.285303,1.369389,0.007408,0.003879
1.286334,1.370949,0.007416,0.003883
1.287340,1.372472,0.007455,0.003887
1.289533,1.374450,0.007536,0.003924
1.290266,1.377127,0.007690,0.004073
1.291155,1.379387,0.007771,0.004111
1.293074,1.381881,0.007811,0.004115
1.294471,1.383427,0.008039,0.004152
1.295766,1.385201,0.008299,0.004268
1.296159,1.386662,0.008487,0.004384
1.297175,1.387974,0.008612,0.004468
1.298631,1.389248,0.008874,0.004618
1.299619,1.390233,0.009135,0.004802
1.300896,1.394350,0.009365,0.005020
1.302376,1.397313,0.009524,0.005128
1.304381,1.399569,0.009756,0.005314
1.305555,1.401183,0.010061,0.005600
1.306697,1.403117,0.010378,0.005785
1.308365,1.404430,0.010611,0.005972
1.309213,1.407658,0.010813,0.006114
