Lambda11(-),Lambda22(-),Sigma11(MPa),Sigma22(MPa)
1.296591,1.387864,0.054127,0.093706
1.297357,1.390583,0.056220,0.097634
1.298077,1.392456,0.058353,0.101728
1.299019,1.396563,0.060450,0.105934
1.299644,1.397355,0.062757,0.110419
1.300074,1.400811,0.065227,0.115161
1.300884,1.402540,0.067777,0.120095
1.301165,1.405434,0.070424,0.125312
1.302211,1.404610,0.073140,0.130790
1.303681,1.408245,0.076030,0.136564
1.304082,1.410887,0.079084,0.142770
1.305634,1.412584,0.082387,0.149205
1.306596,1.414253,0.085751,0.155974
1.306693,1.416499,0.089262,0.163111
1.307669,1.417430,0.093005,0.170821
1.308092,1.419629,0.097056,0.179102
1.308607,1.422861,0.101322,0.187824
1.309299,1.424957,0.105858,0.196770
1.309695,1.426858,0.110360,0.205434
1.310156,1.428379,0.112491,0.209711
1.310504,1.430735,0.114717,0.214189
1.310774,1.433230,0.116965,0.218815
1.312355,1.435043,0.119255,0.223505
1.313235,1.438023,0.121800,0.228363
1.313737,1.439742,0.124286,0.233404
1.314846,1.441881,0.126888,0.238478
