Lambda11(-),Lambda22(-),Sigma11(MPa),Sigma22(MPa)
1.000000,1.000000,0.000000,0.000000
1.248790,1.340800,0.003644,-0.001285
1.247960,1.341270,0.003671,-0.001317
1.248331,1.341303,0.003644,-0.001273
1.248656,1.341363,0.003563,-0.001236
1.248528,1.341395,0.003551,-0.001265
1.250528,1.341554,0.003540,-0.001289
1.251200,1.341748,0.003613,-0.001222
1.251718,1.341675,0.003601,-0.001199
1.252497,1.341295,0.003572,-0.001246
1.252732,1.342128,0.003609,-0.001176
1.254797,1.342338,0.003571,-0.001130
1.255395,1.342337,0.003650,-0.001049
1.256218,1.342408,0.003687,-0.001097
1.256976,1.341783,0.003690,-0.001097
1.257389,1.341636,0.003727,-0.001016
1.258873,1.341615,0.003655,-0.000900
1.259669,1.341862,0.003627,-0.000818
1.260566,1.342254,0.003664,-0.000819
1.261407,1.342278,0.003788,-0.000819
1.262368,1.342845,0.003824,-0.000773
1.263871,1.342930,0.003828,-0.000774
1.264485,1.342949,0.003756,-0.000810
1.265529,1.342950,0.003837,-0.000775
1.266211,1.343093,0.003963,-0.000693
1.267683,1.343236,0.003934,-0.000764
1.268221,1.343575,0.003861,-0.000764
1.269050,1.344002,0.003865,-0.000764
1.269869,1.344437,0.003870,-0.000647
1.270717,1.344408,0.003874,-0.000648
1.272127,1.344577,0.003879,-0.000612
1.273375,1.344480,0.003882,-0.000613
1.273993,1.345016,0.003886,-0.000577
1.275307,1.345494,0.003857,-0.000542
1.276594,1.345580,0.003784,-0.000543
1.277805,1.345359,0.003755,-0.000543
1.278938,1.345697,0.003759,-0.000497
1.279802,1.345580,0.003796,-0.000497
1.280568,1.345652,0.003723,-0.000581
1.281865,1.346121,0.003605,-0.000664
1.282499,1.346299,0.003643,-0.000712
1.283476,1.346868,0.003691,-0.000713
1.284307,1.346907,0.003662,-0.000713
1.285406,1.347397,0.003632,-0.000748
1.287033,1.346953,0.003636,-0.000713
1.287703,1.347272,0.003607,-0.000785
1.288790,1.347561,0.003645,-0.000749
1.290509,1.347405,0.003683,-0.000785
1.291407,1.348064,0.003687,-0.000869
1.292659,1.348553,0.003691,-0.000917
1.293984,1.349025,0.003695,-0.000917
1.295704,1.349152,0.003733,-0.000846
1.296180,1.349214,0.003738,-0.000775
1.297265,1.349733,0.003742,-0.000728
1.297813,1.349564,0.003746,-0.000645
1.299808,1.350044,0.003750,-0.000562
1.300583,1.350857,0.003834,-0.000562
1.300814,1.351646,0.003873,-0.000562
1.302104,1.351191,0.003877,-0.000599
1.303023,1.351612,0.003915,-0.000635
1.304214,1.351883,0.003954,-0.000599
1.305508,1.352157,0.004004,-0.000599
1.306544,1.352412,0.004009,-0.000563
1.307400,1.352495,0.004013,-0.000444
1.308878,1.353562,0.004052,-0.000360
1.310220,1.354021,0.004184,-0.000324
1.310919,1.354526,0.004281,-0.000324
1.311650,1.355097,0.004286,-0.000360
1.313241,1.356012,0.004290,-0.000288
1.314734,1.356220,0.004329,-0.000252
1.316236,1.356539,0.004426,-0.000216
1.316779,1.356669,0.004432,-0.000144
1.317725,1.356934,0.004436,-0.000072
1.318793,1.357178,0.004440,0.000001
1.319666,1.357482,0.004492,0.000073
1.320277,1.357771,0.004590,0.000109
1.321791,1.358792,0.004595,0.000109
1.322602,1.359177,0.004565,0.000036
1.323855,1.359791,0.004569,0.000036
1.325152,1.359926,0.004621,0.000109
1.325989,1.360504,0.004662,0.000182
1.326888,1.361522,0.004668,0.000219
1.328277,1.362107,0.004638,0.000292
1.329935,1.362636,0.004725,0.000328
1.331355,1.363210,0.004777,0.000292
1.332003,1.363533,0.004819,0.000365
1.333523,1.364472,0.004824,0.000475
1.334251,1.364828,0.004793,0.000512
1.335670,1.365158,0.004928,0.000512
1.336696,1.365479,0.004981,0.000549
1.337929,1.366432,0.005023,0.000586
1.339469,1.367027,0.005112,0.000659
1.340796,1.367674,0.005200,0.000843
1.341296,1.368244,0.005371,0.000916
1.342156,1.368799,0.005508,0.000990
1.343677,1.369247,0.005563,0.001028
1.344312,1.369997,0.005689,0.001028
1.345376,1.370927,0.005909,0.001139
1.347683,1.371226,0.006047,0.001176
1.348656,1.372280,0.006221,0.001287
1.349778,1.373000,0.006361,0.001324
1.351037,1.373581,0.006620,0.001362
1.352529,1.374864,0.006962,0.001437
1.354166,1.375251,0.007174,0.001585
1.356527,1.376014,0.007386,0.001623
1.358192,1.376729,0.007562,0.001697
1.359134,1.377290,0.007703,0.001772
1.360036,1.378227,0.007963,0.001773
1.361740,1.378654,0.008140,0.001848
1.363818,1.379422,0.008269,0.001886
1.366019,1.380019,0.008448,0.001998
1.366205,1.381219,0.008541,0.002073
1.367505,1.381616,0.008720,0.002074
1.369285,1.382453,0.008948,0.002186
1.370818,1.382483,0.009225,0.002373
1.373066,1.384044,0.009320,0.002449
1.374610,1.384504,0.009428,0.002450
1.375907,1.385367,0.009573,0.002526
1.377814,1.386738,0.009854,0.002639
1.380296,1.387292,0.010172,0.002827
1.381705,1.387825,0.010490,0.003027
1.383360,1.388057,0.010844,0.003228
1.385159,1.391079,0.011163,0.003503
1.386978,1.390978,0.011444,0.003741
1.389733,1.391814,0.011813,0.003942
1.391667,1.393008,0.012083,0.004143
1.393518,1.394158,0.012453,0.004419
1.394560,1.394758,0.012947,0.004695
1.396617,1.395336,0.013357,0.004972
1.397201,1.396879,0.013768,0.005212
1.400548,1.397054,0.014438,0.005689
1.403288,1.397475,0.015111,0.006204
1.404794,1.398450,0.015884,0.006682
1.406417,1.400041,0.016473,0.007124
1.408162,1.400679,0.017164,0.007603
1.411360,1.401657,0.017943,0.008145
1.414505,1.402262,0.018723,0.008651
1.416018,1.403213,0.019555,0.009195
1.417522,1.403993,0.020550,0.009701
1.418948,1.404844,0.021510,0.010358
1.421635,1.405647,0.022658,0.011104
1.424689,1.406415,0.023757,0.011926
1.427184,1.407354,0.024861,0.012711
1.428828,1.408932,0.026129,0.013535
1.430846,1.409642,0.027414,0.014359
1.433224,1.410435,0.028790,0.015148
1.436486,1.411402,0.030257,0.016012
1.438232,1.412083,0.031729,0.016991
1.439076,1.412815,0.033430,0.018009
1.441127,1.413849,0.035085,0.019192
1.443162,1.414508,0.036832,0.020339
1.446645,1.415674,0.038810,0.021651
1.449020,1.416742,0.041060,0.023040
1.450973,1.417487,0.043416,0.024583
1.453011,1.418213,0.046007,0.026101
1.454607,1.419499,0.048682,0.027724
1.458316,1.420116,0.051589,0.029348
1.461078,1.421022,0.054373,0.031061
1.462389,1.422402,0.057264,0.032853
1.465017,1.422851,0.060377,0.034759
1.467104,1.424531,0.063639,0.036783
1.469541,1.425378,0.067088,0.038975
1.472869,1.426282,0.070672,0.041168
1.474423,1.427643,0.074508,0.043568
1.476389,1.428403,0.078713,0.046085
1.477169,1.429709,0.083119,0.048642
1.478739,1.429929,0.087807,0.051318
1.481634,1.430702,0.092545,0.054034
1.484963,1.432052,0.097577,0.056920
1.487578,1.433292,0.102880,0.059961
1.488817,1.434725,0.108531,0.063135
1.490898,1.435921,0.114479,0.066464
1.493055,1.436819,0.121024,0.070066
1.495435,1.438289,0.127962,0.073838
1.498610,1.438612,0.135188,0.077664
1.500384,1.439292,0.142203,0.081404
1.503075,1.441189,0.145623,0.083220
1.506285,1.442160,0.149249,0.085137
1.508120,1.443123,0.152938,0.087067
1.509746,1.444477,0.156668,0.088909
1.512681,1.445274,0.160570,0.090945
1.515225,1.445869,0.164480,0.092959
1.516457,1.447474,0.168667,0.095113
