Lambda11(-),Lambda22(-),Sigma11(MPa),Sigma22(MPa)
1.000000,1.000000,0.000000,0.000000
1.209343,1.441800,0.006251,0.003868
1.210052,1.441688,0.006393,0.003869
1.210052,1.441688,0.006507,0.003870
1.210346,1.441911,0.006602,0.003871
1.213774,1.442027,0.006539,0.003873
1.213774,1.442027,0.006543,0.003805
1.214326,1.442149,0.006616,0.003747
1.217430,1.442406,0.006745,0.003816
1.217430,1.442406,0.006754,0.003819
1.219022,1.442333,0.006939,0.003761
1.220932,1.442489,0.007175,0.003644
1.220932,1.442489,0.007475,0.003646
1.221213,1.442534,0.007598,0.003708
1.222847,1.441899,0.007737,0.003770
1.222847,1.441899,0.007876,0.003772
1.224643,1.441878,0.008014,0.003774
1.227810,1.442452,0.008089,0.003917
1.227810,1.442452,0.008163,0.003979
1.229045,1.442595,0.008287,0.004122
1.229914,1.442570,0.008525,0.004184
1.229914,1.442570,0.008714,0.004387
1.230627,1.442857,0.008839,0.004509
1.232868,1.443043,0.008898,0.004512
1.232868,1.443043,0.009023,0.004514
1.233702,1.443016,0.009147,0.004516
1.234937,1.443435,0.009158,0.004719
1.234937,1.443435,0.009169,0.004923
1.236674,1.443605,0.009179,0.005067
1.237311,1.443967,0.009240,0.005211
1.237311,1.443967,0.009300,0.005274
1.238679,1.444163,0.009360,0.005276
1.240191,1.444804,0.009419,0.005401
1.240191,1.444804,0.009479,0.005545
1.241937,1.445088,0.009490,0.005346
1.243490,1.446025,0.009500,0.005227
1.243490,1.446025,0.009511,0.005231
1.244480,1.446532,0.009521,0.005314
1.245001,1.447347,0.009532,0.005256
1.245001,1.447347,0.009543,0.005258
1.246231,1.447406,0.009553,0.005463
1.248028,1.448886,0.009564,0.005467
1.248028,1.448886,0.009574,0.005471
1.248987,1.450936,0.009585,0.005414
1.250126,1.451627,0.009596,0.005213
1.250126,1.451627,0.009606,0.005216
1.251874,1.452536,0.009685,0.005361
1.254326,1.454545,0.009884,0.005304
1.254326,1.454545,0.009963,0.005166
1.254593,1.455923,0.009974,0.005167
1.256044,1.456689,0.010053,0.005292
1.256044,1.456689,0.010132,0.005295
1.257688,1.457258,0.010262,0.005298
1.260164,1.460682,0.010273,0.005301
1.260164,1.460682,0.010284,0.005303
1.260576,1.462246,0.010415,0.005224
1.261433,1.462792,0.010666,0.005289
1.261433,1.462792,0.010866,0.005293
1.261411,1.463633,0.010877,0.005091
1.264680,1.464466,0.010957,0.005155
1.264680,1.464466,0.011089,0.005301
1.265990,1.466019,0.011274,0.005366
1.266783,1.468880,0.011218,0.005226
1.266783,1.468880,0.011161,0.005106
1.267813,1.469605,0.011242,0.005169
1.269332,1.471422,0.011376,0.005255
1.269332,1.471422,0.011563,0.005320
1.270132,1.472173,0.011645,0.005385
1.272442,1.475144,0.011778,0.005449
1.272442,1.475144,0.011981,0.005658
1.274744,1.476626,0.012063,0.005867
1.276692,1.479197,0.012078,0.005933
1.276692,1.479197,0.012145,0.005937
1.277311,1.480393,0.012401,0.006146
1.277323,1.481700,0.012659,0.006418
1.277323,1.481700,0.012865,0.006484
1.277889,1.481936,0.012880,0.006550
1.283005,1.485707,0.013158,0.006885
1.283005,1.485707,0.013415,0.007157
1.283803,1.486495,0.013798,0.007491
1.285111,1.489732,0.014007,0.007806
1.285111,1.489732,0.014216,0.007998
1.285685,1.490559,0.014479,0.008064
1.290844,1.492992,0.014759,0.008525
1.290844,1.492992,0.014969,0.008655
1.291913,1.494050,0.015179,0.008784
1.293495,1.497945,0.015390,0.008851
1.293495,1.497945,0.015672,0.009106
1.295300,1.499471,0.015883,0.009422
1.299690,1.501944,0.015899,0.009615
1.299690,1.501944,0.015916,0.009807
1.300413,1.503797,0.016128,0.009937
1.301944,1.505666,0.016199,0.010006
1.301944,1.505666,0.016483,0.010261
1.303900,1.506806,0.016574,0.010392
1.308186,1.509375,0.016520,0.010398
1.308186,1.509375,0.016484,0.010466
1.308961,1.511343,0.016503,0.010660
1.313781,1.514347,0.016575,0.010540
1.313781,1.514347,0.016719,0.010671
1.315320,1.515617,0.016792,0.010740
1.318453,1.517636,0.016811,0.010998
1.318453,1.517636,0.016832,0.011067
1.321472,1.519805,0.016924,0.011074
1.325017,1.521565,0.017140,0.011080
1.325017,1.521565,0.017411,0.011086
1.325993,1.522717,0.017430,0.011155
1.331802,1.527614,0.017521,0.011161
1.331802,1.527614,0.017541,0.011167
1.333005,1.529194,0.017616,0.011173
1.337632,1.530684,0.017834,0.011179
1.337632,1.530684,0.017980,0.011186
1.338812,1.531174,0.018072,0.011255
1.342514,1.533092,0.018165,0.011451
1.342514,1.533092,0.018240,0.011648
1.344502,1.534530,0.018461,0.011718
1.349941,1.537574,0.018682,0.011598
1.349941,1.537574,0.018832,0.011605
1.351278,1.538575,0.018982,0.011675
1.356822,1.541753,0.019132,0.011873
1.356822,1.541753,0.019228,0.011943
1.359794,1.542605,0.019580,0.011949
1.363243,1.545378,0.019989,0.012019
1.363243,1.545378,0.020269,0.012217
1.367138,1.546870,0.020494,0.012415
1.371166,1.548217,0.020905,0.012485
1.371166,1.548217,0.021390,0.012556
1.373308,1.550162,0.021746,0.012562
1.378292,1.552888,0.022027,0.012570
1.378292,1.552888,0.022328,0.012663
1.378826,1.553111,0.022687,0.012798
1.382829,1.556809,0.023047,0.013147
1.382829,1.556809,0.023406,0.013432
1.386863,1.557080,0.023766,0.013781
1.389990,1.560117,0.024183,0.014003
1.389990,1.560117,0.024544,0.014417
1.392351,1.560661,0.024834,0.014896
1.397466,1.562861,0.024994,0.015182
1.397466,1.562861,0.025284,0.015404
1.400035,1.564610,0.025574,0.015563
1.404887,1.566958,0.025941,0.016042
1.404887,1.566958,0.026442,0.016522
1.409059,1.567366,0.026922,0.017067
1.413672,1.569781,0.027478,0.017548
1.413672,1.569781,0.028035,0.017815
1.415415,1.571106,0.028596,0.018233
1.419959,1.572626,0.029157,0.018501
1.419959,1.572626,0.029718,0.018834
1.421039,1.573310,0.030223,0.019297
1.425514,1.577502,0.030730,0.019847
1.425514,1.577502,0.031370,0.020333
1.428180,1.578675,0.032012,0.020884
1.434984,1.580474,0.032654,0.021499
1.434984,1.580474,0.033298,0.022050
1.437363,1.581260,0.034019,0.022797
1.441607,1.584547,0.034592,0.023415
1.441607,1.584547,0.035035,0.024229
1.446117,1.585255,0.035628,0.024848
1.451974,1.586928,0.036491,0.025533
1.451974,1.586928,0.037279,0.026412
1.454125,1.587588,0.037934,0.027228
1.457606,1.591255,0.038804,0.028044
1.457606,1.591255,0.039809,0.028949
1.459843,1.592701,0.041086,0.029855
1.467291,1.594448,0.042307,0.030806
1.467291,1.594448,0.043512,0.031758
1.467856,1.594492,0.044952,0.032842
1.473770,1.596458,0.046589,0.034144
1.473770,1.596458,0.048305,0.035447
1.476735,1.597895,0.050356,0.036817
1.484781,1.600769,0.052567,0.038320
1.484781,1.600769,0.054977,0.039913
1.486537,1.602074,0.057605,0.041899
1.490138,1.604274,0.060184,0.043954
1.490138,1.604274,0.063041,0.046296
1.491883,1.606209,0.066175,0.048572
1.500529,1.609307,0.067526,0.049711
1.500529,1.609307,0.068926,0.050849
1.503109,1.610512,0.070287,0.051929
1.508249,1.612340,0.071890,0.053025
1.508249,1.612340,0.073720,0.054338
1.511942,1.612921,0.075463,0.055613
1.519461,1.615424,0.077269,0.056917
