Lambda11(-),Lambda22(-),Sigma11(MPa),Sigma22(MPa)
1.000000,1.000000,0.000000,0.000000
1.339293,1.253225,0.001483,0.001951
1.339145,1.252742,0.001475,0.001994
1.339332,1.253157,0.001469,0.001911
1.339804,1.254544,0.001463,0.001798
1.342156,1.256003,0.001459,0.001885
1.342273,1.254171,0.001456,0.001997
1.342947,1.254422,0.001453,0.001986
1.343389,1.254555,0.001451,0.001932
1.343605,1.254945,0.001494,0.001966
1.344985,1.255270,0.001495,0.002001
1.345881,1.256143,0.001496,0.002037
1.347035,1.258752,0.001498,0.001961
1.347543,1.259479,0.001499,0.001928
1.347970,1.259890,0.001458,0.002007
1.348236,1.260350,0.001460,0.002077
1.349031,1.260953,0.001461,0.002046
1.348936,1.261358,0.001462,0.002014
1.349225,1.263549,0.001463,0.001947
1.349505,1.264410,0.001464,0.002061
1.349545,1.265075,0.001465,0.002063
1.349795,1.265153,0.001467,0.001919
1.350064,1.265531,0.001468,0.001921
1.350234,1.266346,0.001512,0.001922
1.350594,1.266825,0.001471,0.002002
1.350710,1.268716,0.001472,0.001970
1.351043,1.269789,0.001473,0.001859
1.351101,1.270622,0.001474,0.001826
1.352801,1.271169,0.001518,0.001940
1.353370,1.271941,0.001519,0.001977
1.354657,1.272516,0.001521,0.001945
1.354876,1.273337,0.001565,0.001879
1.355521,1.274926,0.001566,0.001835
1.355814,1.275539,0.001567,0.001950
1.355991,1.276399,0.001568,0.001952
1.356194,1.276803,0.001569,0.001840
1.356871,1.278141,0.001614,0.001841
1.357113,1.279381,0.001690,0.001797
1.357289,1.280719,0.001692,0.001798
1.357119,1.280808,0.001693,0.001685
1.357536,1.281886,0.001737,0.001721
1.358035,1.283871,0.001857,0.001803
1.358343,1.283932,0.001977,0.001884
1.358432,1.285241,0.001936,0.001805
1.358793,1.285992,0.001937,0.001808
1.358953,1.286826,0.002014,0.001695
1.359474,1.287283,0.002124,0.001650
1.360042,1.288607,0.002245,0.001732
1.360493,1.289921,0.002290,0.001768
1.360854,1.290992,0.002291,0.001840
1.361168,1.291967,0.002368,0.001991
1.361693,1.292462,0.002479,0.002108
1.361925,1.292873,0.002481,0.002190
1.362136,1.293234,0.002439,0.002342
1.362357,1.294296,0.002484,0.002528
1.363227,1.295046,0.002519,0.002530
1.363295,1.296791,0.002554,0.002567
1.363470,1.296978,0.002557,0.002673
1.363756,1.297919,0.002558,0.002826
1.364539,1.299222,0.002603,0.002828
1.364839,1.300388,0.002649,0.002911
1.366273,1.301466,0.002652,0.003029
1.366570,1.302117,0.002688,0.003066
1.367211,1.303025,0.002646,0.003103
1.368696,1.304181,0.002724,0.003036
1.368964,1.304624,0.002804,0.002887
1.370310,1.305414,0.002807,0.002819
1.370004,1.306100,0.002776,0.002786
1.371736,1.307739,0.002854,0.002683
1.372435,1.308490,0.002889,0.002580
1.372956,1.309914,0.002936,0.002582
1.373535,1.310858,0.002939,0.002550
1.374435,1.312397,0.002942,0.002446
1.375141,1.313003,0.003020,0.002296
1.375691,1.313596,0.003100,0.002145
1.375702,1.314685,0.003214,0.002183
1.376675,1.315809,0.003295,0.002221
1.376918,1.316522,0.003376,0.002105
1.377823,1.317570,0.003577,0.002036
1.379270,1.318654,0.003736,0.002003
1.379729,1.319760,0.003817,0.002122
1.380189,1.321082,0.003898,0.002160
1.380903,1.322245,0.004180,0.002197
1.382193,1.323181,0.004428,0.002199
1.382905,1.324383,0.004676,0.002153
1.383328,1.325345,0.004836,0.002191
