Lambda11(-),Lambda22(-),Sigma11(MPa),Sigma22(MPa)
1.000000,1.000000,0.000000,0.000000
1.000000,1.000000,0.003362,0.004451
1.000326,0.999692,0.003366,0.004528
1.001840,0.999972,0.003370,0.004591
1.003050,1.003416,0.003503,0.004643
1.005506,1.004396,0.003563,0.004688
1.006584,1.006921,0.003662,0.004773
1.007670,1.008294,0.003748,0.004804
1.008056,1.008910,0.003728,0.004831
1.010576,1.011893,0.003831,0.004935
1.011766,1.012645,0.003935,0.005038
1.013666,1.016435,0.003944,0.005103
1.015064,1.018579,0.004089,0.005303
1.016835,1.021076,0.004152,0.005368
1.018847,1.024020,0.004257,0.005422
1.020914,1.026770,0.004403,0.005571
1.022659,1.029727,0.004412,0.005584
1.025125,1.032590,0.004559,0.005734
1.028150,1.035541,0.004707,0.005843
1.030044,1.039134,0.004719,0.005856
1.031784,1.040635,0.004897,0.006007
1.034753,1.043273,0.004909,0.006022
1.036914,1.047310,0.005006,0.006132
1.037706,1.048194,0.005281,0.006285
1.042340,1.053077,0.005547,0.006493
1.045964,1.055714,0.005771,0.006799
1.047983,1.057743,0.006134,0.007162
1.049629,1.059467,0.006319,0.007335
1.054116,1.063264,0.006628,0.007701
1.057269,1.067230,0.006898,0.008026
1.061409,1.069684,0.007127,0.008200
1.063996,1.073196,0.007494,0.008568
1.067684,1.074977,0.007723,0.008842
1.071125,1.078075,0.007997,0.009116
1.073860,1.080681,0.008313,0.009487
1.078528,1.083947,0.008461,0.009721
1.081993,1.087807,0.008822,0.010152
1.085729,1.090827,0.009056,0.010471
1.088262,1.093084,0.009207,0.010750
1.089664,1.093958,0.009375,0.010974
1.094694,1.099073,0.009587,0.011100
1.097534,1.102914,0.009801,0.011230
1.101532,1.107009,0.010146,0.011415
1.102525,1.107909,0.010494,0.011748
1.106525,1.112363,0.010753,0.012083
1.110493,1.115481,0.011103,0.012578
1.114223,1.119990,0.011498,0.013062
1.117245,1.123157,0.011984,0.013504
1.118775,1.124502,0.012622,0.014153
1.118537,1.124523,0.013216,0.014803
1.127073,1.133625,0.013990,0.015662
1.130725,1.138164,0.015011,0.016573
1.134004,1.140601,0.016124,0.017648
1.137649,1.144441,0.017557,0.019041
1.141269,1.148729,0.019378,0.020871
1.143074,1.149317,0.019945,0.021524
1.149144,1.154292,0.020547,0.022207
1.153315,1.158394,0.021135,0.023001
1.156177,1.160887,0.021768,0.023659
1.156443,1.160798,0.022657,0.024444
1.165918,1.169822,0.023591,0.025228
1.169871,1.172979,0.024671,0.026119
