Lambda11(-),Lambda22(-),Sigma11(MPa),Sigma22(MPa)
1.000000,1.000000,0.000000,0.000000
1.000000,1.000000,0.001406,0.001160
0.999664,0.999867,0.001407,0.001160
0.999913,0.999814,0.001408,0.001161
1.001075,0.997535,0.001408,0.001221
1.002885,0.999952,0.001409,0.001217
1.003365,1.000281,0.001410,0.001264
1.003826,1.000281,0.001411,0.001257
1.004042,1.000259,0.001412,0.001218
1.004704,1.000472,0.001487,0.001218
1.005048,1.000501,0.001530,0.001264
1.006405,1.000779,0.001574,0.001232
1.007147,1.000775,0.001576,0.001188
1.008021,1.000915,0.001577,0.001222
1.008583,1.001120,0.001537,0.001366
1.009640,1.002747,0.001539,0.001401
1.011031,1.003454,0.001540,0.001402
1.012062,1.003608,0.001542,0.001369
1.012758,1.003932,0.001544,0.001336
1.013792,1.004134,0.001545,0.001292
1.014379,1.004324,0.001547,0.001293
1.014674,1.004385,0.001591,0.001249
1.015417,1.004481,0.001635,0.001216
1.016339,1.004760,0.001680,0.001216
1.017166,1.005626,0.001608,0.001296
1.017706,1.006691,0.001609,0.001297
1.018784,1.007160,0.001644,0.001253
1.019266,1.007366,0.001721,0.001220
1.020546,1.007234,0.001766,0.001299
1.020882,1.007635,0.001767,0.001334
1.021588,1.007529,0.001845,0.001301
1.022129,1.007437,0.001889,0.001302
1.022478,1.008027,0.002010,0.001336
1.023875,1.008591,0.002012,0.001415
1.024200,1.008728,0.002013,0.001461
1.024537,1.009706,0.002058,0.001428
1.025262,1.010323,0.002137,0.001508
1.025677,1.010893,0.002172,0.001542
1.027347,1.011093,0.002130,0.001655
1.027470,1.011157,0.002176,0.001578
1.028093,1.011422,0.002254,0.001579
1.028727,1.011771,0.002300,0.001625
1.030385,1.012589,0.002347,0.001659
1.030994,1.013141,0.002306,0.001660
1.032114,1.014292,0.002307,0.001661
1.032417,1.014142,0.002354,0.001662
1.032825,1.015435,0.002434,0.001709
1.033262,1.015693,0.002393,0.001709
1.033412,1.016180,0.002395,0.001710
1.033808,1.016378,0.002474,0.001745
1.034154,1.016701,0.002554,0.001826
1.035239,1.017069,0.002590,0.001793
1.036164,1.017972,0.002560,0.001839
1.038050,1.018096,0.002606,0.001806
1.038173,1.018424,0.002686,0.001807
1.038411,1.018684,0.002733,0.001762
1.038837,1.019589,0.002770,0.001718
1.039000,1.019413,0.002730,0.001718
1.039465,1.020050,0.002776,0.001754
1.040163,1.020492,0.002900,0.001721
1.040442,1.020736,0.002982,0.001722
1.041217,1.022023,0.003019,0.001677
1.042730,1.022622,0.003101,0.001723
1.043455,1.023222,0.003259,0.001759
1.043894,1.023789,0.003419,0.001726
1.044584,1.024027,0.003457,0.001647
1.044925,1.025387,0.003506,0.001717
1.045600,1.025435,0.003588,0.001718
1.046318,1.026776,0.003748,0.001673
1.047260,1.027139,0.003830,0.001719
1.048158,1.027440,0.003947,0.001766
1.049566,1.027757,0.004030,0.001847
1.050282,1.028002,0.004237,0.001963
1.050891,1.028582,0.004477,0.001999
1.051596,1.028922,0.004640,0.002035
1.051751,1.029763,0.004679,0.002036
1.052440,1.030287,0.004808,0.002117
1.053574,1.030717,0.004983,0.002153
1.054146,1.031688,0.005158,0.002155
1.054596,1.032373,0.005255,0.002225
1.055511,1.033099,0.005431,0.002411
1.055989,1.033841,0.005562,0.002447
1.056380,1.034294,0.005806,0.002552
1.057439,1.034635,0.005938,0.002669
1.058125,1.035980,0.006069,0.002740
1.059554,1.036255,0.006167,0.002845
1.060348,1.037047,0.006264,0.002951
1.060557,1.037569,0.006317,0.002988
1.061631,1.038277,0.006369,0.002990
1.062402,1.039353,0.006456,0.003061
1.063718,1.040349,0.006589,0.003132
1.065426,1.040758,0.006642,0.003203
1.066381,1.041119,0.006649,0.003239
1.066462,1.042014,0.006691,0.003346
1.067650,1.041915,0.006814,0.003417
1.068550,1.043416,0.006856,0.003384
1.070030,1.044115,0.006864,0.003386
1.070991,1.045365,0.006872,0.003318
1.071586,1.045532,0.006960,0.003355
1.072675,1.046336,0.007049,0.003392
1.073335,1.046731,0.007139,0.003429
1.074651,1.047590,0.007146,0.003396
1.075662,1.048418,0.007189,0.003433
1.076511,1.049276,0.007279,0.003505
1.077810,1.050117,0.007333,0.003577
1.079692,1.051213,0.007341,0.003614
1.080465,1.051746,0.007384,0.003652
1.081495,1.052643,0.007474,0.003724
1.083150,1.053156,0.007611,0.003761
1.083909,1.054017,0.007668,0.003764
1.085465,1.055311,0.007888,0.003871
1.086338,1.055983,0.008096,0.003944
1.087004,1.056384,0.008270,0.004122
1.089142,1.056564,0.008397,0.004230
1.089886,1.057682,0.008572,0.004338
1.091108,1.058264,0.008795,0.004376
1.092597,1.059082,0.009099,0.004449
1.093210,1.059066,0.009369,0.004522
1.094662,1.060481,0.009593,0.004596
1.096029,1.061389,0.009853,0.004598
1.097243,1.061888,0.010124,0.004671
1.098740,1.063163,0.010431,0.004745
1.099786,1.063689,0.010691,0.004818
1.101612,1.063998,0.010916,0.004892
1.103378,1.064926,0.011142,0.005037
1.104612,1.066685,0.011286,0.005075
1.105872,1.067421,0.011477,0.005149
1.107475,1.067738,0.011705,0.005223
1.108574,1.068587,0.012017,0.005345
1.109575,1.069350,0.012330,0.005467
1.110880,1.069810,0.012681,0.005577
1.112615,1.070465,0.013032,0.005806
1.113564,1.070691,0.013431,0.005963
1.114800,1.071838,0.013832,0.006157
1.116495,1.072787,0.014197,0.006387
1.117870,1.073642,0.014768,0.006652
1.119269,1.074170,0.015341,0.006882
1.120576,1.074883,0.015878,0.007148
1.122064,1.075394,0.016320,0.007379
1.123235,1.076082,0.016895,0.007574
1.124420,1.076320,0.017470,0.007876
1.125827,1.077648,0.018095,0.008179
1.128326,1.078725,0.018771,0.008482
1.131091,1.079322,0.019399,0.008738
1.131785,1.080734,0.019943,0.009114
1.132906,1.081101,0.020526,0.009538
1.133660,1.081691,0.021295,0.009843
1.134362,1.082291,0.022052,0.010220
1.135009,1.082691,0.022860,0.010561
1.136247,1.083312,0.023841,0.011047
1.138043,1.084088,0.024740,0.011570
1.139678,1.084494,0.025776,0.012057
1.141231,1.085238,0.026813,0.012629
1.142903,1.086388,0.028074,0.013153
1.144570,1.087404,0.029425,0.013762
1.146438,1.088640,0.030916,0.014480
1.146981,1.089022,0.032445,0.015127
1.147975,1.090075,0.033977,0.015737
1.149888,1.090417,0.035560,0.016457
1.150966,1.090757,0.037319,0.017214
1.152625,1.090853,0.039082,0.017973
1.152797,1.091993,0.040937,0.018804
1.154958,1.091816,0.042933,0.019672
1.156497,1.093056,0.045019,0.020614
1.158543,1.093573,0.047249,0.021448
1.159402,1.093929,0.049533,0.022295
1.160021,1.094110,0.051860,0.023324
1.162507,1.094566,0.054366,0.024344
1.163558,1.094898,0.056928,0.025534
1.164130,1.095555,0.059622,0.026713
1.165239,1.095771,0.062461,0.027857
1.167101,1.096362,0.065443,0.029160
1.168218,1.098005,0.068698,0.030574
1.169451,1.098530,0.072187,0.032063
1.171311,1.099072,0.075720,0.033481
1.173775,1.099325,0.079322,0.034972
1.175405,1.100492,0.080998,0.035679
1.176700,1.101132,0.082725,0.036408
1.177761,1.101162,0.084562,0.037168
1.178611,1.101689,0.086300,0.038014
1.180423,1.102903,0.088170,0.038900
1.181872,1.103061,0.090091,0.039739
1.183287,1.103968,0.092222,0.040579
