Lambda11(-),Lambda22(-),Sigma11(MPa),Sigma22(MPa)
1.103319,1.115155,0.022298,0.024320
1.104886,1.116764,0.023304,0.025697
1.105855,1.117361,0.024312,0.027074
1.105855,1.117361,0.025583,0.028536
1.108380,1.119198,0.026992,0.030030
1.109400,1.121227,0.028455,0.031666
1.109400,1.121227,0.029945,0.033389
1.110683,1.124212,0.031488,0.035030
1.112336,1.125016,0.033135,0.036857
1.112336,1.125016,0.034997,0.038883
1.113878,1.127639,0.037051,0.041053
1.114827,1.128231,0.038958,0.043227
1.114827,1.128231,0.041144,0.045545
1.116635,1.130155,0.043423,0.047909
1.117505,1.131303,0.045755,0.050405
1.117505,1.131303,0.048231,0.052906
1.120671,1.133107,0.050926,0.055368
1.121085,1.134612,0.053764,0.058176
1.121085,1.134612,0.056609,0.061172
1.123440,1.136958,0.059635,0.064172
1.123837,1.138498,0.062666,0.067304
1.123837,1.138498,0.064145,0.068669
1.125820,1.141000,0.065647,0.070290
1.127431,1.142061,0.067159,0.071895
1.127431,1.142061,0.068700,0.073441
1.129451,1.143922,0.070205,0.075079
1.130590,1.144982,0.071975,0.076794
1.130590,1.144982,0.073659,0.078505
