Lambda11(-),Lambda22(-),Sigma11(MPa),Sigma22(MPa)
1.000000,1.000000,0.000000,0.000000
1.000000,1.000000,0.003682,-0.000161
1.000957,0.998858,0.003694,-0.000102
1.001315,0.998849,0.003754,0.000001
1.001478,0.999217,0.003758,0.000035
1.001973,0.999645,0.003761,-0.000046
1.003410,1.000000,0.003765,-0.000157
1.003783,1.000622,0.003803,-0.000172
1.003867,1.001097,0.003759,-0.000186
1.004101,1.001475,0.003729,-0.000148
1.004163,1.001842,0.003687,-0.000186
1.004203,1.002367,0.003688,-0.000187
1.004196,1.004892,0.003724,-0.000150
1.004310,1.005530,0.003726,-0.000101
1.004702,1.006321,0.003728,-0.000150
1.003629,1.007181,0.003763,-0.000187
1.004600,1.008481,0.003765,-0.000100
1.004537,1.010388,0.003800,-0.000061
1.004463,1.010661,0.003803,-0.000098
1.004587,1.011195,0.003838,-0.000060
1.004626,1.011791,0.003874,0.000103
1.004867,1.011976,0.003909,0.000304
1.004605,1.012785,0.003912,0.000430
1.005046,1.014580,0.003991,0.000556
1.005414,1.015411,0.003993,0.000595
1.005859,1.016223,0.004040,0.000683
1.005852,1.016764,0.004086,0.000771
1.006064,1.017266,0.004089,0.000897
1.005118,1.018210,0.004124,0.000974
1.005221,1.018710,0.004171,0.001101
1.005503,1.019325,0.004140,0.001140
1.005588,1.020742,0.004142,0.001218
1.005612,1.021120,0.004145,0.001295
1.005777,1.021719,0.004192,0.001373
1.006096,1.022832,0.004161,0.001451
1.006579,1.023688,0.004085,0.001529
1.007061,1.024612,0.004087,0.001608
1.007183,1.024949,0.004090,0.001648
1.007928,1.025261,0.004137,0.001689
1.007651,1.025318,0.004139,0.001768
1.008454,1.025606,0.004096,0.001884
1.008961,1.025981,0.004132,0.002040
1.009296,1.026231,0.004213,0.002080
1.009299,1.026840,0.004216,0.002159
1.009629,1.027419,0.004173,0.002239
1.009855,1.027343,0.004175,0.002318
1.009952,1.027830,0.004211,0.002320
1.010126,1.029365,0.004293,0.002284
1.010561,1.029301,0.004296,0.002364
1.010983,1.029325,0.004253,0.002444
1.011054,1.029488,0.004300,0.002447
1.011159,1.031062,0.004347,0.002450
1.011699,1.031984,0.004395,0.002570
1.012002,1.032643,0.004319,0.002690
1.012087,1.033261,0.004276,0.002693
1.012434,1.033664,0.004357,0.002814
1.012781,1.034204,0.004405,0.002817
1.012704,1.035089,0.004453,0.002859
1.013244,1.035660,0.004422,0.002862
1.014028,1.036853,0.004503,0.002944
1.014108,1.037307,0.004585,0.003065
1.014101,1.037433,0.004667,0.003107
1.014432,1.038138,0.004636,0.003228
1.015198,1.038633,0.004559,0.003270
1.015710,1.039575,0.004641,0.003274
1.016298,1.040634,0.004723,0.003317
1.016569,1.041818,0.004760,0.003400
1.016452,1.042568,0.004763,0.003365
1.016700,1.042979,0.004799,0.003329
1.017163,1.043420,0.004881,0.003412
1.017406,1.044348,0.004963,0.003416
1.017307,1.045586,0.005046,0.003540
1.018346,1.046346,0.004924,0.003583
1.017779,1.047452,0.005006,0.003706
1.018296,1.048173,0.005135,0.003791
1.018292,1.048546,0.005218,0.003836
1.019109,1.048814,0.005301,0.004000
1.018892,1.049090,0.005385,0.004084
1.019261,1.050280,0.005548,0.004169
1.019461,1.051949,0.005676,0.004253
1.020097,1.052572,0.005794,0.004379
1.019503,1.054047,0.005924,0.004464
1.019764,1.055411,0.006042,0.004549
1.020122,1.055984,0.006252,0.004675
1.020119,1.056743,0.006462,0.004815
1.020296,1.057821,0.006511,0.004901
1.020422,1.058291,0.006630,0.005042
1.020960,1.058974,0.006840,0.005222
1.021021,1.059874,0.007039,0.005322
1.021428,1.060815,0.007124,0.005424
1.021602,1.061645,0.007243,0.005565
1.022108,1.062060,0.007328,0.005666
1.022328,1.063917,0.007412,0.005808
1.022076,1.064960,0.007532,0.005950
1.022342,1.065094,0.007651,0.006134
1.023310,1.066663,0.007736,0.006277
1.023367,1.068619,0.007775,0.006420
1.023898,1.069253,0.007907,0.006604
1.023997,1.070158,0.007992,0.006788
1.024195,1.070647,0.008078,0.006961
1.024447,1.071693,0.008291,0.007229
1.024545,1.072212,0.008295,0.007403
1.024297,1.073557,0.008428,0.007493
1.024521,1.075188,0.008561,0.007666
1.024777,1.076264,0.008775,0.007922
1.025629,1.077094,0.008954,0.008138
1.026362,1.079186,0.009087,0.008478
1.026268,1.080384,0.009383,0.008875
1.026213,1.081118,0.009679,0.009272
1.026958,1.081840,0.009941,0.009629
1.027153,1.083533,0.010238,0.009985
1.027216,1.084542,0.010581,0.010385
1.027684,1.085667,0.010879,0.010868
1.027769,1.086274,0.011224,0.011395
1.028896,1.088234,0.011603,0.011881
1.028903,1.089367,0.011937,0.012410
1.029575,1.090736,0.012411,0.012940
1.030672,1.092264,0.012792,0.013694
1.031073,1.094703,0.013256,0.014408
1.031215,1.095839,0.013638,0.015040
1.031238,1.096771,0.014149,0.015757
1.031588,1.098034,0.014614,0.016391
1.031947,1.099365,0.015080,0.017012
1.032149,1.100467,0.015511,0.017719
1.032371,1.102334,0.016024,0.018470
1.032847,1.104123,0.016667,0.019320
1.033507,1.106239,0.017217,0.020343
1.033752,1.107123,0.017850,0.021240
1.033932,1.108896,0.018484,0.022183
1.034648,1.110707,0.019213,0.023311
1.035281,1.110952,0.019942,0.024400
1.035879,1.112179,0.020708,0.025532
1.036211,1.113095,0.021391,0.026611
1.036693,1.115249,0.022076,0.027691
1.037268,1.117196,0.022891,0.028816
1.037713,1.119195,0.023613,0.030044
1.038377,1.120673,0.024430,0.031275
1.039118,1.121497,0.025283,0.032595
1.039286,1.123510,0.026268,0.033960
1.039553,1.125196,0.027171,0.035340
1.040214,1.126912,0.027944,0.036838
1.041098,1.128576,0.028813,0.038125
1.041220,1.129845,0.029814,0.039500
