Lambda11(-),Lambda22(-),Sigma11(MPa),Sigma22(MPa)
1.000000,1.000000,0.000000,0.000000
1.000000,1.000000,0.001814,0.001981
0.999442,0.998732,0.001829,0.001934
0.999998,1.000820,0.001841,0.001897
1.000155,1.001466,0.001852,0.001906
1.000517,1.002258,0.001860,0.001878
1.000813,1.003152,0.001868,0.001920
1.001139,1.003535,0.001874,0.001925
1.001417,1.003865,0.001880,0.001930
1.001882,1.004260,0.001882,0.001904
1.002022,1.004587,0.001883,0.001906
1.002890,1.005004,0.001885,0.001821
1.004119,1.005324,0.001887,0.001822
1.004555,1.005578,0.001889,0.001710
1.005364,1.005851,0.001890,0.001740
1.006527,1.008316,0.001926,0.001742
1.006950,1.008852,0.001963,0.001743
1.007519,1.009203,0.001964,0.001658
1.008693,1.009577,0.001966,0.001631
1.008533,1.009931,0.001968,0.001661
1.008887,1.010022,0.001969,0.001691
1.009168,1.010367,0.001971,0.001578
1.009456,1.010728,0.001973,0.001522
1.009520,1.011666,0.001974,0.001523
1.009947,1.013397,0.002011,0.001496
1.010189,1.013742,0.002048,0.001469
1.010373,1.014392,0.002050,0.001527
1.011012,1.014853,0.002051,0.001529
1.011609,1.015141,0.002053,0.001646
1.012337,1.015511,0.002055,0.001705
1.012439,1.015822,0.002092,0.001678
1.012691,1.016081,0.002094,0.001709
1.013176,1.018229,0.002095,0.001855
1.013746,1.018940,0.002133,0.001943
1.014095,1.019189,0.002197,0.001945
1.014834,1.019862,0.002296,0.001947
1.015583,1.020232,0.002298,0.001977
1.016085,1.020593,0.002300,0.002007
1.015795,1.020728,0.002301,0.001950
1.016442,1.021144,0.002330,0.001981
1.016592,1.021873,0.002359,0.002070
1.016713,1.023444,0.002361,0.002101
1.017335,1.024398,0.002363,0.002043
1.017411,1.024710,0.002400,0.001987
1.017686,1.025058,0.002528,0.001960
1.018075,1.026036,0.002557,0.001991
1.018626,1.027915,0.002558,0.002022
1.018747,1.028205,0.002596,0.002054
1.018979,1.029234,0.002662,0.002056
1.020181,1.029640,0.002700,0.002058
1.020304,1.031261,0.002640,0.002148
1.020755,1.032294,0.002642,0.002238
1.021332,1.033012,0.002679,0.002240
1.021523,1.033508,0.002781,0.002329
1.021780,1.033925,0.002819,0.002332
1.022575,1.034185,0.002795,0.002364
1.022139,1.034719,0.002796,0.002484
1.022370,1.035071,0.002862,0.002604
1.023581,1.035544,0.002927,0.002694
1.023858,1.035996,0.002931,0.002756
1.024239,1.037363,0.002933,0.002858
1.024687,1.038061,0.002935,0.002919
1.024812,1.038552,0.002964,0.002922
1.025073,1.039510,0.002995,0.002984
1.025845,1.040685,0.002998,0.003046
1.026559,1.041733,0.002963,0.003019
1.026754,1.042502,0.003029,0.003051
1.026869,1.044219,0.003059,0.003172
1.027274,1.044801,0.003089,0.003234
1.027420,1.045645,0.003156,0.003297
1.028170,1.046833,0.003351,0.003299
1.028243,1.047554,0.003482,0.003302
1.029381,1.047979,0.003549,0.003365
1.029653,1.048991,0.003616,0.003397
1.029865,1.049928,0.003684,0.003400
1.029641,1.049981,0.003880,0.003363
1.030044,1.051107,0.004140,0.003366
1.030490,1.051988,0.004309,0.003399
1.030568,1.052857,0.004414,0.003402
1.031349,1.054411,0.004574,0.003405
1.031841,1.055322,0.004835,0.003437
1.032533,1.056518,0.005032,0.003470
1.033059,1.057797,0.005230,0.003514
1.033424,1.058964,0.005400,0.003588
1.034303,1.059465,0.005497,0.003591
1.035348,1.060307,0.005530,0.003594
1.035502,1.061292,0.005663,0.003668
1.035371,1.062335,0.005797,0.003742
1.036439,1.063773,0.005894,0.003816
1.037052,1.065126,0.005964,0.003819
1.038129,1.066838,0.005969,0.003863
1.038339,1.067943,0.006011,0.003937
1.038738,1.068615,0.006109,0.004073
1.038879,1.069196,0.006207,0.004147
1.039101,1.070014,0.006212,0.004191
1.040293,1.070957,0.006255,0.004296
1.040935,1.071750,0.006326,0.004463
1.041196,1.073328,0.006434,0.004559
1.042175,1.075323,0.006467,0.004655
1.042605,1.076397,0.006642,0.004915
1.043668,1.076997,0.006779,0.005175
1.044251,1.078789,0.006916,0.005333
