Lambda11(-),Lambda22(-),Sigma11(MPa),Sigma22(MPa)
1.000000,1.000000,0.000000,0.000000
1.249901,1.287412,0.002192,-0.000159
1.250788,1.287748,0.002136,-0.000113
1.250567,1.287190,0.002171,-0.000128
1.250440,1.286559,0.002158,-0.000093
1.248060,1.285792,0.002147,-0.000031
1.247652,1.285045,0.002139,-0.000009
1.247710,1.284152,0.002163,-0.000027
1.248134,1.281989,0.002155,-0.000042
1.250656,1.282724,0.002186,0.000043
1.250698,1.285165,0.002165,0.000129
1.250882,1.285804,0.002166,0.000156
1.251230,1.286434,0.002190,0.000156
1.251428,1.287004,0.002138,0.000216
1.251574,1.287484,0.002117,0.000328
1.251794,1.287954,0.002148,0.000354
1.251958,1.288762,0.002172,0.000328
1.252125,1.289684,0.002249,0.000407
1.252140,1.292365,0.002251,0.000468
1.252240,1.293636,0.002282,0.000494
1.252170,1.296738,0.002314,0.000495
1.252580,1.297378,0.002368,0.000574
1.252953,1.298188,0.002422,0.000661
1.254499,1.299067,0.002424,0.000722
1.255528,1.299546,0.002395,0.000776
1.255426,1.300673,0.002533,0.000803
1.255568,1.302740,0.002587,0.000830
1.255825,1.303218,0.002566,0.000883
1.255653,1.304688,0.002674,0.000963
1.255714,1.306856,0.002675,0.000991
1.255011,1.307703,0.002729,0.001053
1.254950,1.309302,0.002762,0.001106
1.254564,1.310032,0.002824,0.001081
1.255432,1.310788,0.002795,0.001135
1.255289,1.311524,0.002850,0.001189
1.256413,1.312591,0.002936,0.001270
1.256925,1.314519,0.003022,0.001298
1.257699,1.315754,0.003054,0.001326
1.257733,1.316936,0.003170,0.001380
1.258286,1.317543,0.003256,0.001382
1.258553,1.317982,0.003281,0.001410
1.258627,1.319243,0.003367,0.001465
1.259140,1.321084,0.003453,0.001493
1.260459,1.322023,0.003486,0.001549
1.259707,1.322668,0.003679,0.001604
1.260891,1.323368,0.003735,0.001713
1.260097,1.324006,0.003791,0.001768
1.260903,1.325667,0.003816,0.001823
1.261596,1.326754,0.003956,0.001906
1.263049,1.327872,0.004012,0.001907
1.263583,1.328826,0.004037,0.001909
1.264179,1.329472,0.004039,0.001939
1.264651,1.330414,0.004095,0.001995
1.264856,1.331400,0.004121,0.002051
1.265436,1.332647,0.004177,0.002134
1.265837,1.333560,0.004179,0.002163
1.266061,1.334560,0.004212,0.002247
1.266162,1.335383,0.004269,0.002331
1.266917,1.336240,0.004325,0.002334
1.266860,1.336895,0.004328,0.002364
1.267308,1.337705,0.004361,0.002393
1.268011,1.338443,0.004395,0.002450
1.267464,1.338945,0.004428,0.002507
1.268018,1.339077,0.004462,0.002538
1.267947,1.340298,0.004519,0.002678
1.268384,1.342595,0.004576,0.002762
1.268423,1.343268,0.004609,0.002793
1.268739,1.344151,0.004612,0.002823
1.268960,1.345082,0.004669,0.002881
1.268980,1.345583,0.004757,0.002967
1.269175,1.346144,0.004845,0.003080
1.269268,1.346572,0.004848,0.003111
1.269537,1.348481,0.004905,0.003142
1.269672,1.350821,0.004962,0.003228
1.269875,1.351227,0.005075,0.003352
1.269871,1.351900,0.005187,0.003504
1.270326,1.352252,0.005299,0.003655
1.270759,1.352857,0.005498,0.003807
1.270881,1.353352,0.005642,0.003932
1.271360,1.353871,0.005762,0.004085
1.271354,1.355954,0.005851,0.004238
1.271841,1.356491,0.006019,0.004447
1.272388,1.357605,0.006187,0.004656
1.272747,1.358577,0.006331,0.004922
1.272805,1.359451,0.006445,0.005105
1.273208,1.360542,0.006613,0.005316
1.273756,1.360730,0.006836,0.005527
1.273652,1.361807,0.006981,0.005794
1.273834,1.362610,0.007150,0.006062
1.274308,1.364866,0.007264,0.006265
1.274028,1.365688,0.007378,0.006507
1.274705,1.366690,0.007492,0.006777
1.274931,1.367715,0.007552,0.007047
1.275049,1.368010,0.007690,0.007375
1.275113,1.368694,0.007860,0.007647
1.275464,1.369776,0.008093,0.008005
1.276392,1.370809,0.008295,0.008334
1.276516,1.372495,0.008474,0.008693
1.276950,1.373528,0.008676,0.009025
1.277067,1.374116,0.008823,0.009385
1.278060,1.375215,0.009026,0.009747
1.277509,1.376705,0.009230,0.010138
1.278080,1.377943,0.009457,0.010596
1.278356,1.378476,0.009660,0.010968
1.278426,1.379828,0.009896,0.011399
1.279240,1.380507,0.010131,0.011878
1.279852,1.381503,0.010423,0.012330
1.280135,1.384177,0.010651,0.012783
1.280865,1.384724,0.010831,0.013237
1.281345,1.385342,0.011124,0.013788
1.281470,1.387053,0.011353,0.014283
1.281811,1.388008,0.011590,0.014836
1.282016,1.389035,0.011820,0.015419
1.282886,1.390223,0.012058,0.016004
1.283498,1.391792,0.012407,0.016629
1.283979,1.392468,0.012645,0.017313
1.284686,1.395260,0.012908,0.018027
1.284667,1.397001,0.013227,0.018734
1.285109,1.397147,0.013578,0.019500
1.285373,1.398607,0.013898,0.020336
