Lambda11(-),Lambda22(-),Sigma11(MPa),Sigma22(MPa)
1.360171,1.367144,0.046614,0.043493
1.362605,1.368465,0.048613,0.045472
1.364400,1.369927,0.050680,0.047698
1.366445,1.371669,0.052688,0.050002
1.368955,1.373896,0.054853,0.052310
1.370826,1.375135,0.057265,0.054938
1.373105,1.376295,0.060079,0.057863
1.374473,1.376947,0.063051,0.060865
1.376193,1.377348,0.065875,0.063873
1.378546,1.379483,0.069344,0.067425
1.382066,1.381651,0.073130,0.071276
1.383343,1.382243,0.077234,0.075452
1.386892,1.382915,0.081592,0.079856
1.388822,1.383799,0.086266,0.084734
1.390546,1.385782,0.091192,0.089595
1.393140,1.388231,0.096353,0.094713
1.395798,1.389129,0.101699,0.100158
1.396783,1.389660,0.107277,0.105361
1.399303,1.390775,0.109810,0.107908
1.400950,1.393438,0.112548,0.110589
1.404901,1.394379,0.115348,0.113314
1.407318,1.394734,0.118106,0.116126
1.410128,1.395861,0.121175,0.119273
1.412651,1.396594,0.124509,0.122702
1.414821,1.397287,0.127915,0.125826
