Lambda11(-),Lambda22(-),Sigma11(MPa),Sigma22(MPa)
1.000000,1.000000,0.000000,0.000000
1.000000,1.000000,0.000592,0.002017
0.999463,1.000398,0.000526,0.002005
1.001315,1.000595,0.000531,0.002107
1.002514,1.000829,0.000575,0.002147
1.002985,1.002708,0.000611,0.002048
1.003296,1.003488,0.000564,0.002001
1.003829,1.003763,0.000566,0.001961
1.004449,1.004098,0.000634,0.001958
1.005832,1.004413,0.000636,0.002035
1.007509,1.004640,0.000715,0.002080
1.008203,1.005130,0.000812,0.002081
1.008749,1.005540,0.000812,0.001978
1.009540,1.006771,0.000842,0.001938
1.010912,1.007905,0.000921,0.001983
1.011974,1.008019,0.001029,0.002016
1.013817,1.008174,0.001176,0.001912
1.015167,1.008130,0.001244,0.001849
1.015944,1.007148,0.001313,0.001852
1.016973,1.007407,0.001354,0.001855
1.017056,1.007583,0.001433,0.001964
1.017727,1.006861,0.001610,0.001966
1.018876,1.008865,0.001680,0.001968
1.020682,1.009062,0.001721,0.002013
1.020839,1.009621,0.001792,0.002016
1.022654,1.009741,0.001794,0.001975
1.023326,1.009871,0.001874,0.002010
1.023730,1.009950,0.002023,0.002044
1.024509,1.010198,0.002133,0.002090
1.026794,1.011186,0.002165,0.002093
1.027677,1.011397,0.002168,0.002030
1.029568,1.011781,0.002200,0.001998
1.030422,1.012509,0.002311,0.002032
1.030862,1.012743,0.002383,0.001958
1.031478,1.013343,0.002454,0.001884
1.032620,1.013872,0.002486,0.001843
1.034052,1.014194,0.002489,0.001812
1.034673,1.014535,0.002561,0.001814
1.035125,1.014724,0.002594,0.001850
1.036033,1.015178,0.002597,0.001853
1.036873,1.015591,0.002629,0.001855
1.037874,1.016045,0.002662,0.001824
1.038210,1.017019,0.002695,0.001826
1.040357,1.017699,0.002698,0.001784
1.040587,1.018373,0.002701,0.001821
1.042167,1.018707,0.002704,0.001966
1.043042,1.020360,0.002778,0.002145
1.043932,1.021457,0.002821,0.002258
1.044225,1.022016,0.002824,0.002372
1.044786,1.022915,0.002827,0.002552
1.045705,1.023749,0.002830,0.002633
1.046238,1.024935,0.002833,0.002813
1.046697,1.025959,0.002836,0.002927
1.047526,1.026520,0.002839,0.002964
1.048431,1.027530,0.002842,0.003068
1.048590,1.028053,0.002845,0.003216
1.048727,1.028739,0.002848,0.003364
1.049113,1.029576,0.002892,0.003479
1.050228,1.030011,0.002967,0.003628
1.051267,1.031228,0.002970,0.003699
1.052331,1.031664,0.002973,0.003771
1.053085,1.032387,0.002947,0.003842
1.053764,1.033216,0.002981,0.003914
1.054576,1.034227,0.003056,0.003952
1.055107,1.034792,0.003060,0.003957
1.055610,1.036246,0.003104,0.004029
1.055868,1.038310,0.003180,0.004067
1.056696,1.039135,0.003327,0.004139
1.057658,1.040005,0.003403,0.004212
1.058115,1.041267,0.003406,0.004216
1.059159,1.042191,0.003451,0.004221
1.059535,1.043052,0.003568,0.004259
1.061395,1.043978,0.003644,0.004332
1.062210,1.045201,0.003617,0.004337
1.062100,1.047255,0.003621,0.004342
1.062599,1.047818,0.003697,0.004381
1.063164,1.048109,0.003774,0.004455
1.064080,1.048668,0.003851,0.004529
1.064334,1.050362,0.003824,0.004533
1.065819,1.051422,0.003827,0.004538
1.066729,1.052006,0.003862,0.004577
1.067496,1.054157,0.003940,0.004687
1.068230,1.055148,0.003946,0.004726
1.069020,1.056086,0.003877,0.004732
1.069534,1.057083,0.003922,0.004772
1.070453,1.058103,0.003958,0.004846
1.071946,1.059481,0.003994,0.004955
1.072862,1.061984,0.004031,0.004996
1.074747,1.063335,0.004141,0.005000
1.075506,1.064332,0.004218,0.005040
1.076325,1.064889,0.004297,0.005116
1.077723,1.066098,0.004408,0.005192
1.078789,1.068994,0.004530,0.005163
1.079175,1.069631,0.004715,0.005167
1.080178,1.070143,0.004868,0.005243
1.082619,1.071039,0.004989,0.005319
1.083685,1.072020,0.005070,0.005360
1.084293,1.073284,0.005225,0.005472
1.085871,1.075671,0.005496,0.005654
1.086471,1.077504,0.005725,0.005802
1.088364,1.079091,0.005955,0.006033
1.090223,1.079786,0.006111,0.006193
1.091272,1.080581,0.006268,0.006425
1.092337,1.082555,0.006424,0.006607
1.093643,1.084169,0.006655,0.006791
1.094581,1.085835,0.006812,0.006988
1.095965,1.087037,0.006937,0.007150
1.098216,1.087774,0.006977,0.007417
1.100317,1.089710,0.007060,0.007720
1.102305,1.092077,0.007261,0.007953
1.104399,1.094069,0.007452,0.008151
1.104511,1.094953,0.007578,0.008314
1.105465,1.096015,0.007586,0.008477
1.107547,1.097154,0.007670,0.008605
1.109624,1.098376,0.007831,0.008805
1.111479,1.100086,0.008003,0.008851
1.112971,1.101588,0.008131,0.008933
1.114374,1.103230,0.008336,0.008943
1.115878,1.104393,0.008586,0.009108
1.117110,1.106056,0.008868,0.009274
1.120322,1.108139,0.009151,0.009465
1.122392,1.109724,0.009391,0.009656
1.125147,1.111121,0.009674,0.009848
1.126233,1.113580,0.009957,0.010113
1.127679,1.115205,0.010242,0.010305
1.129599,1.116346,0.010494,0.010533
1.132255,1.117865,0.010812,0.010799
1.134452,1.119591,0.011174,0.011113
1.135639,1.121825,0.011571,0.011392
1.135842,1.122637,0.011936,0.011635
1.137323,1.123182,0.012257,0.012024
1.139270,1.124623,0.012734,0.012488
1.141570,1.126304,0.013180,0.013061
1.144417,1.127627,0.013660,0.013599
1.146436,1.130447,0.014152,0.014139
1.147806,1.131972,0.014756,0.014656
1.150289,1.133768,0.015440,0.015322
1.152085,1.135226,0.016282,0.016026
1.153970,1.136788,0.017045,0.016657
1.156374,1.138121,0.017765,0.017398
1.157508,1.139489,0.018486,0.018104
1.159817,1.141526,0.019376,0.018811
1.161194,1.143736,0.020345,0.019507
1.163727,1.145583,0.021442,0.020402
1.166798,1.146722,0.022607,0.021410
1.168224,1.148110,0.023864,0.022396
1.169178,1.150799,0.025204,0.023460
1.171074,1.152347,0.026659,0.024525
1.172786,1.152740,0.028162,0.025754
1.173801,1.154751,0.029781,0.027060
1.176608,1.156562,0.031415,0.028519
1.178080,1.158582,0.033166,0.030019
1.180156,1.159851,0.035092,0.031522
1.182044,1.160647,0.037258,0.033152
1.183555,1.161373,0.039712,0.034936
1.185094,1.163128,0.042535,0.036924
1.188243,1.164435,0.045239,0.039103
1.189917,1.166127,0.047979,0.041245
1.191868,1.168500,0.050885,0.043468
1.193001,1.169427,0.053967,0.045858
1.194473,1.171674,0.057364,0.048317
1.197348,1.172294,0.060941,0.050945
1.201153,1.173018,0.064765,0.053780
1.202319,1.175099,0.068964,0.056773
1.204007,1.176932,0.073459,0.060128
1.205031,1.178209,0.078237,0.063438
1.205306,1.179561,0.083441,0.067011
1.207999,1.180718,0.088979,0.071021
1.210902,1.182378,0.094931,0.075306
1.213054,1.183201,0.101313,0.079879
1.215438,1.184138,0.108067,0.084896
1.216524,1.186111,0.115527,0.090127
1.217326,1.187382,0.123708,0.096046
1.219768,1.189240,0.132526,0.102375
1.222739,1.190974,0.141975,0.109061
1.223543,1.192103,0.151240,0.115687
1.227329,1.193920,0.155597,0.118816
1.228972,1.195706,0.160153,0.122098
1.230614,1.197183,0.164841,0.125523
1.232121,1.198419,0.169757,0.128922
1.234843,1.199949,0.175038,0.132706
1.236398,1.201242,0.180458,0.136576
1.240519,1.201993,0.185977,0.140515
