Lambda11(-),Lambda22(-),Sigma11(MPa),Sigma22(MPa)
1.000000,1.000000,0.000000,0.000000
1.000000,1.000000,0.005201,0.005524
1.000283,0.999789,0.005208,0.005507
1.001197,1.001506,0.005214,0.005559
1.001554,1.004937,0.005221,0.005603
1.003658,1.008103,0.005228,0.005587
1.004121,1.010680,0.005234,0.005625
1.006358,1.013080,0.005241,0.005658
1.007080,1.014369,0.005247,0.005688
1.008306,1.017849,0.005260,0.005801
1.011671,1.022054,0.005363,0.005814
1.012767,1.026287,0.005421,0.005872
1.015152,1.030533,0.005434,0.005929
1.016854,1.034996,0.005493,0.005944
1.018881,1.038545,0.005506,0.005959
1.020734,1.042308,0.005564,0.005975
1.022850,1.045831,0.005669,0.006094
1.025406,1.050734,0.005682,0.006152
1.028919,1.054825,0.005848,0.006227
1.032021,1.059125,0.005952,0.006347
1.033680,1.062497,0.005966,0.006406
1.036441,1.066597,0.006178,0.006586
1.038900,1.070068,0.006284,0.006662
1.042454,1.074365,0.006390,0.006738
1.045026,1.079466,0.006651,0.006920
1.048129,1.082840,0.006668,0.006979
1.051288,1.085801,0.006838,0.007162
1.054740,1.089880,0.007101,0.007345
1.057506,1.093256,0.007413,0.007529
1.061339,1.096206,0.007724,0.007821
1.064669,1.100732,0.008037,0.008051
1.068590,1.104628,0.008305,0.008179
1.070636,1.108460,0.008713,0.008472
1.073998,1.112337,0.008922,0.008707
1.078055,1.115259,0.009145,0.008944
1.081297,1.118519,0.009556,0.009287
1.085445,1.122094,0.009769,0.009574
1.089305,1.126797,0.010137,0.009920
1.091251,1.129512,0.010506,0.010315
1.096081,1.133296,0.010721,0.010557
1.099810,1.136761,0.011093,0.010904
1.104482,1.141712,0.011308,0.011148
1.108322,1.144480,0.011574,0.011329
1.112458,1.148854,0.011795,0.011573
1.114630,1.153263,0.012015,0.011711
1.118378,1.157722,0.012352,0.011959
1.121152,1.160267,0.012787,0.012207
1.124107,1.165185,0.013127,0.012395
1.126356,1.167963,0.013467,0.012583
1.130905,1.175522,0.014001,0.012724
1.135055,1.178813,0.014442,0.012930
1.137069,1.180229,0.014984,0.012964
1.140511,1.185288,0.015744,0.013044
1.144585,1.189513,0.016390,0.013257
1.148476,1.193868,0.017204,0.013679
1.153468,1.200703,0.017538,0.013830
1.155152,1.203256,0.017976,0.013928
1.159060,1.207070,0.018364,0.014120
1.162539,1.210632,0.018754,0.014258
1.168040,1.215164,0.019291,0.014420
1.172587,1.221011,0.019672,0.014534
1.176311,1.225390,0.019960,0.014673
