Lambda11(-),Lambda22(-),Sigma11(MPa),Sigma22(MPa)
1.650742,1.892096,0.008703,0.007756
1.650779,1.891958,0.008848,0.007889
1.653667,1.898625,0.009060,0.008160
1.655588,1.900233,0.009351,0.008431
1.654966,1.900314,0.009575,0.008628
1.658186,1.904690,0.009760,0.008763
1.660055,1.906872,0.009974,0.008929
1.660685,1.906819,0.010326,0.009233
1.664712,1.913483,0.010787,0.009570
1.665650,1.916966,0.011082,0.009812
1.666269,1.917022,0.011338,0.010023
1.668517,1.919965,0.011634,0.010299
1.669967,1.922250,0.011961,0.010607
1.669982,1.922270,0.012357,0.011044
1.672530,1.925572,0.012823,0.011450
1.672978,1.929319,0.013330,0.011963
1.672897,1.929235,0.013906,0.012606
1.677128,1.933845,0.014624,0.013251
1.678365,1.937930,0.015272,0.013895
1.678414,1.937926,0.015991,0.014573
1.680986,1.943040,0.016319,0.014916
1.683946,1.945151,0.016696,0.015313
1.683937,1.945120,0.017050,0.015734
1.688327,1.947738,0.017318,0.016144
1.689497,1.950312,0.017742,0.016570
1.689172,1.950367,0.018210,0.017037
1.691679,1.957249,0.018644,0.017498
