Lambda11(-),Lambda22(-),Sigma11(MPa),Sigma22(MPa)
1.332981,1.293937,0.033247,0.035813
1.333166,1.296763,0.034410,0.036968
1.334215,1.299367,0.035638,0.038236
1.334358,1.302659,0.037253,0.040083
1.335580,1.304994,0.038979,0.041918
1.337509,1.306677,0.040707,0.043647
1.337526,1.308943,0.042716,0.045667
1.338793,1.311824,0.044602,0.047239
1.339275,1.316368,0.046616,0.048869
1.339578,1.318242,0.048895,0.051118
1.339948,1.320749,0.051116,0.053269
1.340760,1.323579,0.053682,0.055753
1.341559,1.327075,0.056531,0.058879
1.342899,1.329153,0.059493,0.061851
1.343647,1.332248,0.062676,0.065103
1.343713,1.333418,0.065971,0.068544
1.344127,1.335097,0.069708,0.072451
1.344691,1.338854,0.073605,0.076460
1.345307,1.341456,0.077569,0.080365
1.346697,1.345234,0.079311,0.081934
1.348113,1.346872,0.081192,0.083741
1.348496,1.349865,0.083035,0.085774
1.348749,1.352356,0.085209,0.088171
1.349679,1.355026,0.087394,0.090876
1.350117,1.357442,0.089696,0.093686
1.350519,1.358965,0.092072,0.096330
