Lambda11(-),Lambda22(-),Sigma11(MPa),Sigma22(MPa)
1.000000,1.000000,0.000000,0.000000
1.282579,1.733469,0.004141,0.001312
1.282603,1.733350,0.004144,0.001272
1.283315,1.733876,0.004146,0.001313
1.283691,1.734299,0.004149,0.001063
1.284237,1.734614,0.004151,0.001174
1.284899,1.734861,0.004154,0.001212
1.286352,1.735403,0.004156,0.001297
1.287014,1.735800,0.004158,0.001275
1.287522,1.736005,0.004163,0.001227
1.287964,1.736459,0.004168,0.001324
1.288477,1.737828,0.004173,0.001469
1.290241,1.738522,0.004178,0.001470
1.290901,1.738995,0.004182,0.001662
1.291504,1.740112,0.004187,0.001567
1.292251,1.740629,0.004191,0.001615
1.293451,1.741098,0.004196,0.001569
1.294504,1.742107,0.004201,0.001570
1.295484,1.742402,0.004205,0.001522
1.296142,1.743290,0.004210,0.001827
1.296619,1.743550,0.004215,0.001684
1.297432,1.744608,0.004219,0.001685
1.298129,1.745563,0.004224,0.001783
1.298878,1.746422,0.004229,0.001977
1.299440,1.746957,0.004233,0.002074
1.301289,1.747423,0.004238,0.002075
1.302118,1.747838,0.004300,0.001931
1.302890,1.748614,0.004305,0.001835
1.303812,1.748878,0.004310,0.001838
1.304208,1.750099,0.004314,0.001983
1.304647,1.752133,0.004319,0.002130
1.306439,1.752540,0.004381,0.002131
1.307249,1.752803,0.004386,0.002326
1.308313,1.753442,0.004391,0.002570
1.308900,1.754311,0.004453,0.002669
1.309898,1.755097,0.004458,0.002913
1.310621,1.755910,0.004520,0.003108
1.311492,1.756036,0.004525,0.003013
1.312277,1.756822,0.004530,0.002967
1.313244,1.757354,0.004592,0.003065
1.313791,1.758577,0.004698,0.003164
1.314150,1.760149,0.004704,0.003165
1.315264,1.760271,0.004709,0.003360
1.315669,1.760740,0.004714,0.003265
1.317422,1.761078,0.004777,0.003315
1.317826,1.761679,0.004884,0.003268
1.319033,1.762359,0.004831,0.003318
1.320194,1.762855,0.004836,0.003321
1.320925,1.763161,0.004841,0.003274
1.321745,1.763547,0.004891,0.003179
1.322712,1.764716,0.004954,0.003132
1.323947,1.764950,0.004902,0.003085
1.325345,1.765169,0.004906,0.003185
1.326015,1.765618,0.004970,0.003236
1.326564,1.767576,0.005020,0.003238
1.327608,1.769089,0.005085,0.003240
1.328485,1.769820,0.005032,0.003438
1.329096,1.769993,0.005037,0.003489
1.330075,1.770200,0.005145,0.003589
1.330814,1.770920,0.005255,0.003640
1.332241,1.771332,0.005261,0.003740
1.332699,1.771438,0.005266,0.003791
1.333902,1.771914,0.005330,0.003794
1.334679,1.772422,0.005439,0.003796
1.335971,1.772593,0.005550,0.003897
1.336727,1.773340,0.005601,0.003998
1.337345,1.774524,0.005606,0.004099
1.339436,1.775114,0.005671,0.004101
1.340225,1.776670,0.005721,0.004153
1.341487,1.777777,0.005788,0.004254
1.342417,1.778542,0.005736,0.004256
1.343268,1.779276,0.005741,0.004259
1.344514,1.779660,0.005805,0.004261
1.345554,1.780610,0.005872,0.004263
1.346611,1.781043,0.005925,0.004315
1.346960,1.781159,0.005886,0.004317
1.347817,1.781918,0.005891,0.004320
1.349202,1.782284,0.005943,0.004322
1.350689,1.782881,0.006010,0.004324
1.351559,1.785370,0.005973,0.004327
1.352785,1.785974,0.005874,0.004279
1.354185,1.787296,0.005879,0.004232
1.355011,1.787917,0.005930,0.004235
1.356231,1.788430,0.006044,0.004187
1.357453,1.788895,0.006098,0.004140
1.358826,1.789623,0.006059,0.004142
1.360054,1.790628,0.006125,0.004145
1.360999,1.792274,0.006283,0.004197
1.361996,1.794247,0.006337,0.004249
1.363020,1.795058,0.006407,0.004252
1.363896,1.795508,0.006520,0.004305
1.365871,1.796124,0.006632,0.004307
1.367289,1.796950,0.006746,0.004359
1.367578,1.797737,0.006862,0.004412
1.369019,1.799628,0.006869,0.004415
1.369681,1.801549,0.007090,0.004417
1.370920,1.802024,0.007311,0.004470
1.372254,1.803221,0.007534,0.004573
1.374074,1.804288,0.007604,0.004676
1.374989,1.804736,0.007675,0.004780
1.376390,1.806643,0.008006,0.004832
1.377881,1.807643,0.008276,0.004936
1.379150,1.809845,0.008456,0.005158
1.379921,1.810465,0.008573,0.005161
1.381819,1.811881,0.008692,0.005163
1.382931,1.813006,0.008980,0.005115
1.384520,1.814976,0.009330,0.005219
1.385536,1.816030,0.009572,0.005374
1.387816,1.817697,0.009754,0.005478
1.388983,1.819497,0.010043,0.005430
1.390263,1.820082,0.010287,0.005483
1.390292,1.820296,0.010530,0.005486
1.392242,1.821552,0.010667,0.005591
1.392960,1.822680,0.010849,0.005645
1.393895,1.825088,0.011032,0.005546
1.395047,1.826239,0.011106,0.005549
1.396734,1.828047,0.011243,0.005603
1.398935,1.829051,0.011365,0.005608
1.400551,1.831076,0.011503,0.005883
1.401774,1.832277,0.011578,0.006107
1.402681,1.834039,0.011639,0.006314
1.403095,1.836302,0.011763,0.006538
1.404029,1.837282,0.011934,0.006610
1.405696,1.839372,0.011947,0.006665
1.406647,1.840630,0.011960,0.006821
1.407336,1.841791,0.012084,0.007200
1.409467,1.843214,0.012256,0.007476
1.411400,1.845250,0.012380,0.007651
1.412403,1.846597,0.012393,0.007877
1.412477,1.846927,0.012566,0.008308
1.413349,1.848606,0.012851,0.008687
1.414155,1.850020,0.013136,0.008913
1.414889,1.850930,0.013439,0.009072
1.416958,1.853435,0.013901,0.009180
1.418860,1.855877,0.014300,0.009288
1.419590,1.857215,0.014652,0.009515
1.420925,1.859312,0.014893,0.009675
1.421946,1.860167,0.015135,0.009938
1.423395,1.861566,0.015537,0.010217
1.424659,1.863486,0.016003,0.010496
1.426197,1.865543,0.016357,0.010606
1.426857,1.867565,0.016664,0.010818
1.428598,1.868374,0.017020,0.010978
1.430822,1.869094,0.017553,0.011087
1.431636,1.871053,0.018088,0.011300
1.432935,1.871960,0.018464,0.011565
1.435276,1.875769,0.018889,0.011951
1.435638,1.877060,0.019365,0.012286
1.436308,1.878201,0.019859,0.012724
1.437153,1.879086,0.020418,0.013214
1.439251,1.880061,0.021027,0.013757
1.440362,1.882521,0.021800,0.014197
1.442798,1.883785,0.022640,0.014689
1.444525,1.886424,0.023546,0.015338
1.446112,1.888226,0.024456,0.015987
1.447348,1.888776,0.025416,0.016584
1.448743,1.889867,0.026377,0.017183
1.450939,1.890721,0.027339,0.017833
1.452374,1.892348,0.028301,0.018605
1.453390,1.896358,0.029218,0.019326
1.454576,1.897347,0.030483,0.020049
1.457354,1.898783,0.031750,0.020807
1.458549,1.900549,0.032904,0.021670
1.461334,1.901234,0.034294,0.022535
1.462240,1.903654,0.035803,0.023627
1.463095,1.904351,0.037313,0.024615
1.464954,1.905695,0.039011,0.025867
1.466814,1.907942,0.040963,0.027067
1.468295,1.908759,0.042968,0.028164
1.470156,1.911111,0.045211,0.029593
1.471447,1.911807,0.047524,0.031130
1.473784,1.913323,0.049890,0.032790
1.475780,1.915396,0.052679,0.034662
1.477257,1.917386,0.055826,0.036746
1.479044,1.919399,0.059096,0.038885
1.480437,1.920142,0.062256,0.041078
1.482858,1.921102,0.063756,0.042088
1.484685,1.923173,0.065485,0.043133
1.486232,1.925487,0.067040,0.044219
1.489371,1.928270,0.068715,0.045191
1.490797,1.929342,0.070645,0.046357
1.493101,1.930298,0.072496,0.047429
1.495112,1.931528,0.074115,0.048668
