Lambda11(-),Lambda22(-),Sigma11(MPa),Sigma22(MPa)
1.510778,1.341378,0.022069,0.012741
1.513369,1.341647,0.022787,0.012994
1.516054,1.343509,0.023685,0.013411
1.518011,1.344345,0.024471,0.013763
1.520607,1.346410,0.025306,0.014116
1.523236,1.347459,0.026191,0.014536
1.524731,1.348504,0.026967,0.015154
1.528469,1.350023,0.027565,0.015674
1.530166,1.350896,0.028475,0.016046
1.531344,1.351703,0.029548,0.016567
1.533855,1.352727,0.030802,0.017088
1.535314,1.353631,0.031880,0.017826
1.538146,1.353997,0.033257,0.018515
1.540832,1.355056,0.034701,0.019253
1.543041,1.355611,0.036493,0.020092
1.547071,1.356538,0.038407,0.021031
1.548811,1.357632,0.040505,0.022237
1.551460,1.359597,0.042494,0.023127
1.553327,1.361236,0.043384,0.023701
1.554750,1.362524,0.044353,0.024304
1.558099,1.363210,0.045337,0.024801
1.561180,1.363666,0.046407,0.025185
1.563872,1.366875,0.047786,0.025644
1.565699,1.366612,0.049058,0.026286
1.569635,1.367879,0.050428,0.026901
